grp , pp , S , IDR , IDL , decTimeL , MTL , peakVelR , maxangleR , rho , circularityR , accQL , accTimeR , q4L , Rf , q2L , IPerfEfL , q3L , accQR , q2R , flsAmp , peakVelL , phDiffStd , MTR , decTimeR , IPerfR , IPerfL , circularityL , phDiffMean , IPerfEfR , q3R , maxangleL , flsPC , q1L , accTimeL , q4R , q1R , Lf
2,1,7,3,2,0.46784,0.28675,0.5444,0.12063,1,0.82974,0.91374,0.54628,0.90214,2.0182,0.91143,12.515,0.76444,0.86713,0.82643,0.13778,0.4926,0.013937,0.28671,0.45745,9.7051,9.7151,0.8537,0.14186,10.971,0.83137,0.10265,0.1762,0.79386,0.5359,0.86264,0.79192,2.0182
2,1,7,3,2,0.44531,0.23491,0.58885,0.28958,1,0.8931,0.81276,0.56473,0.88591,2.1484,0.93174,14.575,0.87433,0.78853,0.89977,0.13637,0.53783,0.012983,0.23457,0.43954,11.107,11.104,0.88696,0.11806,16.022,0.9089,0.17935,0.1766,0.87824,0.55896,0.92277,0.80834,2.1484
2,1,7,3,2,0.48378,0.27016,0.53984,0.13078,1,0.90268,0.96064,0.52444,0.90545,1.9531,0.90961,12.948,0.83839,0.93983,0.85285,0.15662,0.48468,0.012776,0.27051,0.47929,9.6972,9.7198,0.89833,0.089844,10.682,0.81489,0.1284,0.17391,0.82059,0.51996,0.95545,0.89666,1.9531
1,2,1,1,1,0.50434,1.0488,0.19361,0.20355,1,0.74005,1.211,0.48271,0.51001,0.28853,0.52179,22.861,0.94434,1.3349,0.49179,0.086021,0.15247,0.0025377,1.5562,0.51875,7.7699,22.661,0.51819,-0.040512,8.3698,0.8745,0.2178,0.17572,0.88656,0.49992,0.59804,0.96087,0.28853
1,2,1,1,1,0.48188,1.4587,0.19972,0.21054,1,0.62653,1.1064,0.497,0.61291,0.29721,0.64092,10.319,0.86324,1.2704,0.50721,0.089142,0.15885,0.012598,1.604,0.50454,8.149,10.088,0.70471,-0.075331,8.5537,0.84363,0.27395,0.17578,0.74081,0.52001,0.49065,0.8911,0.29721
1,2,1,1,1,0.50285,1.4295,0.15413,0.26004,1,0.73987,1.2194,0.485,0.53749,0.26808,0.59029,13.183,0.88315,1.4335,0.49139,0.07693,0.14482,0.0053631,1.5811,0.5167,9.0388,12.487,0.72657,-0.086777,9.4411,0.86091,0.22233,0.17459,0.91585,0.4995,0.60864,0.88446,0.26808
1,2,1,1,2,0.4937,1.5498,0.14741,0.21391,1,0.83458,1.4395,0.49882,0.48138,0.29963,0.61625,4.8517,0.8449,1.3071,0.45312,0.12063,0.19004,0.0048338,1.3232,0.50372,13.536,3.3991,0.66939,0.010769,14.326,0.8876,0.23036,0.17007,0.94741,0.50761,0.60005,0.88672,0.29963
1,2,1,1,2,0.50052,1.3435,0.17007,0.23739,1,0.8389,1.4233,0.51041,0.63941,0.38471,0.58712,3.7529,0.8163,1.3197,0.56332,0.12843,0.21214,0.011349,1.1206,0.49158,10.578,2.6934,0.63482,-0.045601,10.406,0.83095,0.18191,0.17556,0.89416,0.50051,0.60906,0.88604,0.38471
1,2,1,1,2,0.48146,1.1356,0.18638,0.20238,1.037,0.66973,1.2397,0.51273,0.55901,0.38512,0.60567,5.9499,0.88232,1.4261,0.48572,0.10874,0.18826,0.91048,1.171,0.48894,8.9177,4.4238,0.59845,1.1981,8.8794,0.89279,0.23079,0.15063,0.90169,0.52024,0.56852,0.85627,0.37137
1,2,1,2,1,0.50067,1.1265,0.19365,0.21291,1.1154,0.715,1.1929,0.48125,0.53999,0.32552,0.53259,17.758,0.70499,1.3583,0.58709,0.062713,0.14128,0.95545,1.4868,0.51988,4.5144,16.832,0.53013,0.59674,5.6176,0.8797,0.17074,0.1335,0.6291,0.50249,0.63723,0.89039,0.29185
