grp , pp , S , ID , Uq1R , UaccTimeR , Uq3R , UdecTimeR , UpeakVelR , UmaxangleR , UIPerfR , UcircularityR , UMTR , Uq2R , UIPerfEfR , UaccQR , Uq4R
2,7,1,2,0.90008,0.51281,0.80404,0.48855,0.16818,0.31351,5.4309,0.83869,0.86267,0.75987,5.325,1.0689,0.81081
2,7,1,2,0.84295,0.5001,0.87321,0.50153,0.1849,0.276,6.5256,0.81237,0.75428,0.74878,6.0836,1.0619,0.75698
2,7,1,2,0.81836,0.50925,0.88535,0.49226,0.22986,0.19663,6.0466,0.84626,0.66877,0.7964,6.3447,0.99299,0.87184
2,7,1,3,0.75989,0.54666,0.78126,0.45613,0.41519,0.11751,7.2535,0.83227,0.36807,0.91353,9.8095,0.84234,0.83202
2,7,1,3,0.77348,0.54295,0.87166,0.46037,0.46164,0.13966,8.6184,0.83109,0.30786,0.83572,11.95,0.85524,0.88086
2,7,1,3,0.89379,0.54687,0.85849,0.45701,0.53241,0.1937,10.083,0.88118,0.26036,0.93337,12.168,0.84827,0.9231
2,7,4,1,0.68964,0.51522,0.74612,0.48601,0.14729,0.48922,6.5672,0.71155,1.246,0.63598,7.0169,1.1007,0.54216
2,7,4,1,0.67702,0.4932,0.74101,0.50759,0.15746,0.41942,4.2202,0.69868,1.2678,0.53976,4.7745,1.1981,0.61237
2,7,4,1,0.76216,0.48928,0.77781,0.51173,0.18251,0.4986,5.3923,0.70302,0.99189,0.55123,5.5228,1.1597,0.62741
2,7,4,2,0.85235,0.5339,0.84991,0.46812,0.31098,0.19697,8.0759,0.8252,0.50102,0.79311,9.1311,0.883,0.82532
2,7,4,2,0.73082,0.53808,0.83075,0.46413,0.33589,0.15422,8.8641,0.81498,0.46383,0.83579,8.6641,0.87313,0.75901
2,7,4,2,0.82985,0.52586,0.84435,0.47634,0.34308,0.21848,8.826,0.88774,0.45616,0.88185,8.8205,0.91152,0.87378
2,7,4,3,0.8481,0.52555,0.88108,0.47771,0.44917,0.22806,8.4722,0.88108,0.30748,0.87904,9.8513,0.91382,0.87137
2,7,4,3,0.89758,0.53964,0.91791,0.46607,0.72549,0.14959,14.862,0.90755,0.17798,0.9295,15.646,0.87797,0.83964
2,7,4,3,0.91218,0.51121,0.88028,0.49295,0.56228,0.20753,10.809,0.93042,0.24116,0.94988,12.127,0.98013,0.90911
2,7,7,1,0.63302,0.51592,0.68364,0.48525,0.16412,0.33494,6.2239,0.68984,1.1495,0.69034,6.8958,1.0378,0.53343
2,7,7,1,0.67158,0.51037,0.63015,0.49049,0.18734,0.31509,4.5871,0.65484,1.1706,0.62463,4.9709,1.089,0.64032
2,7,7,1,0.72354,0.49194,0.69621,0.50895,0.16914,0.46302,4.7488,0.70758,1.1244,0.59551,5.3567,1.1465,0.70165
2,7,7,2,0.89159,0.50716,0.92659,0.49459,0.273,0.23414,7.0016,0.8325,0.575,0.81636,7.579,0.9806,0.85909
2,7,7,2,0.8015,0.52643,0.8482,0.47585,0.35065,0.16458,9.1017,0.83853,0.44552,0.85671,9.9821,0.90801,0.78733
2,7,7,2,0.83944,0.51848,0.84841,0.48377,0.35252,0.39175,9.0056,0.79247,0.4457,0.80657,10.377,0.93608,0.71215
