grp , pp , S , ID , UIPerfEfL , Uq1L , UpeakVelL , Uq3L , Uq2L , Uq4L , UaccQL , UcircularityL , UIPerfL , UaccTimeL , UdecTimeL , UMTL , UmaxangleL
1,9,1,1,4.9075,0.90418,0.19461,0.74362,0.55087,0.64641,1.3196,0.73362,5.3093,0.46289,0.53811,1.0122,0.339
1,9,1,1,4.2609,0.7934,0.16856,0.69963,0.57238,0.63436,1.2528,0.69808,4.6105,0.48138,0.51948,1.1653,0.24886
1,9,1,1,4.8065,0.82646,0.16702,0.81822,0.66918,0.63473,1.1725,0.79018,4.784,0.50343,0.49747,1.1214,0.33476
1,9,1,2,5.6798,0.80769,0.21714,0.89201,0.7787,0.83254,0.94046,0.82557,4.165,0.52649,0.47511,0.63007,0.2535
1,9,1,2,7.3966,0.86135,0.25707,0.85215,0.81971,0.85724,1.055,0.87808,5.2418,0.49223,0.50979,0.4989,0.19978
1,9,1,2,8.3805,0.85489,0.31936,0.79615,0.81582,0.89045,1.0141,0.87095,6.5678,0.50014,0.50238,0.39758,0.1879
1,9,4,1,5.386,0.82411,0.20312,0.73832,0.64793,0.59424,1.3409,0.75056,5.3,0.48741,0.51359,1.0098,0.20362
1,9,4,1,12.483,0.8985,0.16741,0.89671,0.66418,0.60656,1.2796,0.79028,12.677,0.4953,0.50708,0.97794,0.40473
1,9,4,1,5.5563,0.93969,0.19002,0.76703,0.65672,0.66946,1.4095,0.78246,5.1944,0.48571,0.51527,1.0328,0.29494
1,9,4,2,10.086,0.82201,0.48193,0.88503,0.92811,0.87136,0.93207,0.86821,9.0989,0.52404,0.47946,0.28691,0.18448
1,9,4,2,11.006,0.79217,0.50421,0.88083,0.96987,0.87406,0.87912,0.91047,9.9399,0.53966,0.46417,0.2626,0.207
1,9,4,2,11.643,0.83503,0.5159,0.8993,0.97836,0.83921,0.83457,0.91791,9.9037,0.55119,0.45262,0.26322,0.21299
1,9,7,1,5.6845,0.80771,0.2148,0.73833,0.60039,0.6182,1.2259,0.70841,5.5487,0.48911,0.51193,0.96764,0.22488
