grp,pp,S,DID,HarmonicityL,HarmonicityR,HarmonicityDownL,HarmonicityDownR,HarmonicityUpL,HarmonicityUpR,CircularityL,CircularityR,fL,fR,IDefL,IDefR,peakVelL,peakVelR,MTL,MTR,accTimeL,accTimeR,decTimeL,decTimeR,accQL,accQR,IPerfL,IPerfR,IPerfEfL,IPerfEfR,vfTrajCircularityL,vfTrajCircularityR,vfCircularityL,vfCircularityR,q1L,q1R,q2L,q2R,q3L,q3R,q4L,q4R,maxangleL,maxangleR,MI,rho,flsPC,flsAmp,phDiffMean,phDiffStd,d4D,d3D,d2D,d1D,minPeakDelay,minPeakDelayNorm
1,3,1,2,0.12006,0.10184,0.12137,0.11572,0.1106,0.095938,0.80658,0.81229,0.65104,0.65104,3.3625,4.4371,0.24532,0.2844,0.779,0.781,0.278,0.265,0.493,0.505,0.35764,0.36039,3.3369,5.1216,4.3165,5.6813,0.82045,0.80471,0.21853,0.28383,0.88521,0.90328,0.81239,0.7711,0.87742,0.87086,0.68018,0.70143,0.23484,0.22013,0.76936,1,0.99242,0.8649,0.061981,0.0067309,1.1573,0.55293,0.93306,0.060613,0.003,0.0077022
1,3,1,2,0.09656,0.10533,0.10762,0.081727,0.067907,0.12746,0.79273,0.84447,0.65984,0.65984,3.3439,4.7303,0.25558,0.30092,0.752,0.773,0.288,0.278,0.474,0.495,0.38079,0.36399,3.4567,5.1746,4.4466,6.1194,0.81324,0.83245,0.18648,0.2634,0.87184,0.93867,0.81746,0.81456,0.86355,0.9106,0.69902,0.73638,0.37986,0.66929,0.761,1,0.96533,0.80529,0.073853,0.0078226,1.178,0.48458,0.98214,0.063255,0.009,0.023936
1,3,1,3,0.041401,0.1001,0.034323,0.064081,0.054379,0.11237,0.78018,0.83901,0.43035,0.4469,2.6726,5.7101,0.20955,0.24768,1.155,1.128,0.457,0.453,0.695,0.687,0.39469,0.398,2.2506,4.718,2.314,5.0622,0.78617,0.78461,0.24904,0.28785,0.83457,0.87796,0.76951,0.77827,0.88054,0.88026,0.68797,0.70409,0.73141,0.69303,0.72667,1,0.96023,0.6069,0.056372,0.0086974,1.1819,0.36681,1.0743,0.03434,0.008,0.013853
1,3,1,3,0.021476,0.073213,0.017592,0.051651,0.023648,0.11854,0.80352,0.88135,0.41118,0.41118,3.4862,5.8178,0.21309,0.25617,1.165,1.211,0.435,0.446,0.73,0.754,0.36992,0.37167,2.2313,4.3947,2.9925,4.8041,0.80223,0.83477,0.25954,0.33814,0.8782,0.96997,0.76532,0.79044,0.90068,0.92675,0.68432,0.72254,0.6761,0.46112,0.76089,1,0.96059,0.56429,0.079784,0.0075235,1.226,0.36048,1.1136,0.055576,-0.009,-0.015451
1,3,1,3,0.046689,0.091517,0.036698,0.061034,0.064977,0.10578,0.80036,0.84731,0.41594,0.41594,3.5578,5.6945,0.21904,0.26638,1.23,1.236,0.466,0.472,0.758,0.773,0.38742,0.38122,2.1134,4.3058,2.8925,4.6072,0.78974,0.77552,0.28824,0.30716,0.87671,0.91064,0.76606,0.76548,0.86542,0.8744,0.6703,0.67849,0.69576,0.88432,0.76268,1,0.97924,0.60773,0.077051,0.006844,1.2041,0.27471,1.1205,0.043316,-0.002,-0.003252
1,3,2,1,1,1,1,1,1,1,0.82573,0.85732,1.2336,1.2336,2.685,3.7429,0.33451,0.3613,0.411,0.419,0.1935,0.203,0.228,0.2165,0.46206,0.48924,6.3249,6.204,6.533,8.9329,0.85017,0.8549,0.1626,0.14951,0.78893,0.85651,0.89086,0.85009,0.90181,0.85663,0.75365,0.84607,0.33433,0.18294,0.71994,1,0.97612,0.9973,0.23634,0.0091019,1.187,0.86891,0.81991,0.23137,0.0305,0.14842
1,3,2,1,1,1,1,1,1,1,0.85256,0.90039,1.1719,1.1719,3.1348,3.8382,0.32916,0.34394,0.412,0.414,0.214,0.209,0.201,0.204,0.51643,0.50681,6.3094,6.2789,7.6088,9.271,0.85298,0.91059,0.1439,0.13926,0.81524,0.91138,0.91505,0.94111,0.88899,0.90302,0.79573,0.89937,0.20509,0.13961,0.7238,1,0.98937,0.99972,0.35584,0.005128,1.2475,0.9306,0.84189,0.33988,0.048,0.23301
1,3,2,1,1,1,1,1,1,1,0.83473,0.86649,1.285,1.285,3.1917,3.6194,0.3379,0.34593,0.395,0.395,0.198,0.199,0.203,0.201,0.4962,0.49772,6.5809,6.5809,8.0804,9.1631,0.85334,0.86808,0.13213,0.15437,0.80127,0.82959,0.9206,0.91666,0.90992,0.90947,0.78704,0.8352,0.16345,0.27456,0.71099,1,0.99178,0.99141,0.30492,0.0074278,1.2055,0.91361,0.79991,0.28194,0.039,0.19747
1,3,2,2,0.13661,0.11329,0.35909,0.2099,0.060893,0.080265,0.85319,0.83847,0.68063,0.68063,4.2565,4.6838,0.26082,0.28854,0.724,0.713,0.313,0.29,0.414,0.425,0.43411,0.40616,3.5904,5.6101,5.8792,6.5692,0.85093,0.82513,0.20958,0.22718,0.82472,0.83837,0.78276,0.77473,0.93005,0.88489,0.84828,0.79364,0.25506,0.26278,0.80831,1,0.99989,0.92635,0.087911,0.005464,1.2016,0.60527,0.98305,0.090537,0.008,0.022099
1,3,2,2,0.2066,0.16521,0.42416,0.24066,0.10197,0.07676,0.84511,0.82896,0.65104,0.65104,3.9232,4.7069,0.24134,0.2564,0.768,0.79,0.324,0.329,0.45,0.453,0.42298,0.41887,3.3847,5.0633,5.1084,5.958,0.82892,0.80525,0.19303,0.20702,0.82525,0.81783,0.74994,0.74006,0.90991,0.89076,0.84688,0.81099,0.30759,0.24145,0.83268,1,0.99957,0.90432,0.10359,0.0055389,1.1948,0.61629,0.97523,0.11294,0.014,0.036458
