grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,9,1,2,1,0.82757,3.2327,1.2478,0.3158,0.396,0.204,0.196,0.50238,6.5643,8.1635,0.87511,0.15277,0.87522,0.87406,0.81602,0.86562,0.19576
1,9,2,1,0.038923,0.81643,5.4514,0.49964,0.19972,1.01,0.332,0.662,0.33333,5.2692,5.3975,0.72019,0.33297,0.85448,0.65667,0.85988,0.70718,0.32688
1,9,2,1,0.086741,0.84269,5.4792,0.45422,0.18493,1.0935,0.3525,0.7055,0.33548,4.8669,5.0107,0.80301,0.29788,0.9135,0.68288,0.93422,0.73548,0.54207
1,9,2,1,0.066287,0.86236,5.6898,0.47789,0.19013,1.009,0.3275,0.6905,0.31883,5.2745,5.6392,0.811,0.3207,0.95077,0.7342,0.95055,0.76626,0.50427
1,9,2,2,1,0.81681,2.9022,1.7278,0.47782,0.288,0.153,0.136,0.53401,9.0259,10.077,0.8261,0.15363,0.81288,0.93675,0.84822,0.78042,0.17368
1,9,2,2,1,0.79626,2.8866,1.8717,0.49635,0.2645,0.14,0.1265,0.52566,9.8279,10.914,0.80475,0.16988,0.79016,0.94726,0.80982,0.74244,0.14156
1,9,2,2,1,0.85937,3.0996,1.8717,0.51438,0.262,0.14,0.124,0.53112,9.9216,11.831,0.85901,0.1381,0.83554,0.94867,0.86739,0.8265,0.11901
1,9,3,1,0.15021,0.84596,5.475,0.5008,0.21145,0.975,0.343,0.623,0.36548,5.4584,5.6154,0.77747,0.26165,0.88752,0.74575,0.85356,0.72196,0.40752
1,9,3,1,0.11686,0.82801,5.1898,0.48828,0.20564,0.98,0.351,0.625,0.36235,5.4305,5.2957,0.79291,0.29101,0.8847,0.68765,0.8846,0.77029,0.39163
1,9,3,1,0.15456,0.87057,5.1826,0.58129,0.22054,0.8695,0.3115,0.557,0.35585,6.1207,5.9604,0.83757,0.2872,0.92257,0.75159,0.91579,0.79533,0.53821
1,9,3,2,1,0.79203,2.8942,2.0419,0.56499,0.245,0.126,0.119,0.50539,10.61,11.813,0.80543,0.14646,0.73985,0.83693,0.81841,0.75517,0.23696
1,9,3,2,1,0.82532,2.8125,2.1307,0.55375,0.242,0.124,0.117,0.5123,10.742,11.622,0.87057,0.17666,0.84362,0.90585,0.88506,0.84144,0.21206
1,9,3,2,1,0.85931,3.4966,2.2461,0.52099,0.226,0.114,0.111,0.51101,11.502,15.472,0.87403,0.11787,0.87118,0.91239,0.86522,0.83032,0.21531
2,1,1,1,0.066179,0.82985,5.1303,0.41118,0.19197,1.172,0.368,0.818,0.30843,4.5409,4.3774,0.76378,0.33926,0.9226,0.72505,0.92118,0.70793,0.77086
2,1,1,1,0.088399,0.84239,4.9859,0.46503,0.20223,1.0725,0.3245,0.7375,0.30556,4.9622,4.6489,0.77357,0.32113,0.92445,0.74328,0.91226,0.7137,0.30666
2,1,1,1,0.085991,0.82532,5.0341,0.4534,0.18126,1.137,0.343,0.785,0.31109,4.6807,4.4276,0.79031,0.33913,0.92438,0.72802,0.90923,0.69076,0.36931
2,1,1,2,1,0.78263,3.1043,1.4361,0.40324,0.362,0.156,0.204,0.43454,7.1808,8.5754,0.7567,0.17597,0.81475,0.73382,0.7639,0.75559,0.18675
2,1,1,2,1,0.79362,3.0237,1.4038,0.42701,0.349,0.1495,0.193,0.43232,7.4483,8.664,0.78152,0.14187,0.79155,0.75112,0.83027,0.76623,0.20966
