grp,pp,S,ID,Harmonicity,Circularity,IDef,f,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,6,1,2,0.25345,0.79135,4.2149,0.53478,0.18288,0.9485,0.3655,0.5825,0.40848,4.2173,4.4438,0.77477,0.22266,0.77806,0.66886,0.84049,0.79442,0.21456
1,6,1,2,0.15207,0.79126,3.1412,0.46705,0.15413,1.102,0.405,0.669,0.39064,3.6298,2.8504,0.75799,0.26152,0.88508,0.7389,0.7918,0.73045,0.40977
1,6,1,3,0.096362,0.72537,3.4775,0.48828,0.20198,0.848,0.326,0.541,0.38596,3.0654,4.1008,0.69848,0.26321,0.75863,0.61021,0.78704,0.66385,0.2978
1,6,1,3,0.12224,0.76263,3.6211,0.50863,0.15744,0.985,0.413,0.559,0.42176,2.639,3.6762,0.75565,0.17945,0.83793,0.79757,0.74836,0.66889,0.25458
1,6,1,3,0.14956,0.79213,3.777,0.49913,0.17615,0.946,0.353,0.564,0.40395,2.7478,3.9927,0.75507,0.24982,0.82337,0.69017,0.8009,0.71349,0.22256
1,6,2,1,0.081015,0.83981,5.4683,0.43403,0.18878,1.12,0.447,0.672,0.39004,4.7517,4.8824,0.78759,0.28763,0.82415,0.69215,0.88304,0.76423,0.79194
1,6,2,1,0.084907,0.85627,6.1572,0.37287,0.18694,1.31,0.496,0.803,0.38117,4.0625,4.7001,0.79078,0.27293,0.86022,0.70596,0.90412,0.75321,0.45109
1,6,2,1,0.091311,0.89553,5.7765,0.40409,0.19455,1.204,0.479,0.704,0.40402,4.4202,4.7978,0.8713,0.27617,0.9174,0.82131,0.93371,0.81781,0.4617
1,6,2,2,0.10057,0.85883,4.6452,0.56424,0.21131,0.912,0.399,0.52,0.43424,4.386,5.0934,0.8401,0.20773,0.84595,0.78419,0.91348,0.82473,0.43142
1,6,2,2,0.33403,0.87826,4.6944,0.69754,0.2482,0.711,0.35,0.356,0.49786,5.6259,6.6026,0.8728,0.20595,0.86157,0.83775,0.90451,0.89167,0.26128
1,6,2,2,0.13574,0.87549,4.5737,0.67139,0.23813,0.743,0.3545,0.3815,0.47051,5.3836,6.1558,0.85704,0.20145,0.85269,0.82196,0.88834,0.86648,0.19992
1,6,2,3,1,0.86069,3.426,0.83705,0.2765,0.5975,0.28,0.3195,0.4658,4.3506,5.7338,0.86564,0.13401,0.86152,0.84704,0.90192,0.85903,0.17365
1,6,2,3,1,0.87004,4.0282,0.86806,0.27275,0.574,0.293,0.28,0.50089,4.5287,7.0178,0.87375,0.16045,0.84991,0.90462,0.90374,0.87294,0.14403
1,6,2,3,1,0.81348,3.3076,0.83705,0.27036,0.6,0.298,0.298,0.49836,4.3324,5.5127,0.82845,0.16819,0.79707,0.83131,0.85357,0.82374,0.14481
1,6,3,1,0.095908,0.8624,6.3268,0.38147,0.19016,1.328,0.479,0.837,0.37401,4.0075,4.7641,0.79051,0.30038,0.84981,0.70497,0.92633,0.76608,0.493
1,6,3,1,0.094192,0.8295,6.145,0.39378,0.18732,1.266,0.479,0.789,0.38503,4.2037,4.8539,0.72551,0.26956,0.81557,0.6805,0.82555,0.68627,1.0192
1,6,3,1,0.087045,0.85132,6.0864,0.40409,0.20254,1.177,0.437,0.754,0.37568,4.5216,5.1711,0.75506,0.28141,0.82555,0.65876,0.88574,0.75724,2.8476
1,6,3,2,0.22067,0.85761,4.712,0.76294,0.25409,0.678,0.334,0.359,0.47599,5.8997,6.9498,0.86434,0.18881,0.82782,0.80746,0.90763,0.89984,0.67631
1,6,3,2,0.28524,0.90754,5.0378,0.78125,0.26434,0.638,0.317,0.328,0.48986,6.2696,7.8962,0.89974,0.22838,0.86918,0.85975,0.93138,0.93327,0.20332
1,6,3,2,0.27448,0.86798,4.4992,0.78125,0.26492,0.635,0.31,0.331,0.47869,6.2992,7.0854,0.8532,0.17265,0.8422,0.81926,0.87473,0.87959,0.25187
1,6,3,3,1,0.87579,4.0085,0.80218,0.25314,0.631,0.317,0.33,0.49321,4.1196,6.3526,0.87926,0.17716,0.85505,0.86686,0.91908,0.88542,0.15996
1,6,3,3,1,0.88041,4.2213,0.86806,0.27287,0.5795,0.296,0.276,0.52172,4.4857,7.2843,0.88336,0.20209,0.83608,0.87472,0.8982,0.9136,0.26112
1,6,3,3,1,0.88524,4.0637,0.86806,0.27323,0.556,0.283,0.271,0.50473,4.6753,7.3089,0.88607,0.17362,0.84492,0.87376,0.91573,0.91831,0.15004
1,8,1,1,0.065358,0.82086,5.4442,0.4695,0.26241,1.077,0.378,0.678,0.36684,4.9414,5.0549,0.73003,0.31598,0.92308,0.69211,0.83264,0.69129,0.71075
1,8,1,1,0.05212,0.83283,5.6712,0.48828,0.27927,0.989,0.331,0.658,0.33333,5.3811,5.7343,0.76721,0.28168,0.92104,0.69236,0.84425,0.70265,1.4326
1,8,1,1,0.035734,0.83852,5.5074,0.52083,0.31011,0.944,0.328,0.616,0.34992,5.6376,5.8341,0.75929,0.33419,0.95028,0.73402,0.8759,0.695,1.4402
1,8,1,2,0.09893,0.83553,4.2296,0.89164,0.38415,0.552,0.258,0.3065,0.47211,7.2466,7.6625,0.80171,0.19512,0.8773,0.80521,0.76837,0.75935,0.49447
1,8,1,2,0.39967,0.83036,4.1135,0.85449,0.32647,0.521,0.229,0.283,0.45663,7.6776,7.8954,0.80698,0.15338,0.87202,0.81084,0.79003,0.77247,0.22587
1,8,1,2,0.21449,0.82883,4.0713,0.78125,0.30023,0.64,0.269,0.372,0.41842,6.25,6.3615,0.81553,0.22859,0.88412,0.788,0.83884,0.74919,0.55443
1,8,1,3,1,0.82485,2.2895,2.2461,0.66019,0.226,0.124,0.105,0.54585,11.502,10.131,0.82271,0.16987,0.75525,0.85506,0.85102,0.76519,0.17177
1,8,1,3,1,0.89153,3.8152,2.6042,0.6973,0.194,0.107,0.0915,0.54442,13.399,19.666,0.90835,0.13066,0.87726,0.98717,0.91217,0.87583,0.10611
1,8,1,3,1,0.86682,3.1817,2.0345,0.56147,0.246,0.132,0.115,0.53462,10.567,12.934,0.90568,0.15676,0.85656,0.94319,0.89928,0.90288,0.23077
1,8,2,1,0.048342,0.8402,5.4916,0.46705,0.21593,1.0575,0.3515,0.694,0.33574,5.0326,5.1931,0.78396,0.36075,0.90602,0.68701,0.91671,0.75814,2.957
1,8,2,1,0.053701,0.78682,5.42,0.41556,0.21771,1.203,0.391,0.82,0.33101,4.4239,4.5054,0.67168,0.35455,0.76956,0.60858,0.77759,0.59375,0.71372
1,8,2,1,0.035497,0.82429,5.4376,0.44389,0.21638,1.137,0.344,0.799,0.29919,4.6807,4.7824,0.78261,0.36941,0.92174,0.7239,0.91047,0.70901,0.88724
1,8,2,2,0.21504,0.80937,4.4906,0.7487,0.28051,0.6345,0.253,0.3965,0.38797,6.3042,7.0774,0.76043,0.23422,0.84258,0.697,0.83584,0.75044,0.36979
1,8,2,2,1,0.8245,3.9273,1.0742,0.36055,0.4265,0.2015,0.2135,0.48703,9.3788,9.2084,0.83114,0.12517,0.82275,0.83866,0.79911,0.83035,0.16
1,8,2,2,1,0.84698,4.3581,0.71615,0.2481,0.6725,0.269,0.407,0.40103,5.948,6.4806,0.82758,0.21803,0.88253,0.80128,0.87081,0.77108,0.44765
1,8,2,3,1,0.82494,2.6299,2.9297,0.83947,0.174,0.084,0.089,0.47024,14.939,15.114,0.90203,0.23299,0.88849,0.89773,0.87501,0.90975,0.1833
1,8,2,3,1,0.87331,3.6231,2.4957,0.67451,0.203,0.099,0.1,0.48293,12.805,17.848,0.86533,0.12919,0.85563,0.89984,0.90995,0.87442,0.20912
1,8,2,3,1,0.90298,3.4082,2.6042,0.70074,0.196,0.103,0.094,0.50739,13.263,17.389,0.89776,0.096646,0.86025,0.94331,0.96764,0.92521,0.21912
1,8,3,1,0.07491,0.8562,5.3468,0.54783,0.25691,0.9295,0.328,0.588,0.36602,5.7256,5.7523,0.83997,0.27409,0.91486,0.76412,0.9108,0.80153,0.65595
1,8,3,1,0.058979,0.84919,5.3086,0.56538,0.27477,0.856,0.304,0.56,0.3509,6.2172,6.2016,0.75949,0.2859,0.85977,0.66902,0.87783,0.74749,1.0334
1,8,3,1,0.075433,0.85048,5.2279,0.55487,0.24332,0.909,0.323,0.603,0.35377,5.8547,5.7513,0.78586,0.28089,0.8951,0.72905,0.88543,0.74951,0.82276
1,8,3,2,1,0.84197,4.1277,0.939,0.29201,0.545,0.2485,0.296,0.43858,7.3394,7.5737,0.84103,0.14395,0.8827,0.81307,0.83653,0.80032,0.29695
1,8,3,2,1,0.88161,4.5073,1.1161,0.34092,0.446,0.2225,0.2335,0.48475,8.9686,10.106,0.87927,0.17136,0.91115,0.87745,0.84814,0.87482,0.23121
1,8,3,2,1,0.86384,4.2866,1.0696,0.34774,0.458,0.214,0.243,0.46774,8.7336,9.3594,0.84715,0.13548,0.86292,0.82581,0.85437,0.8366,0.19385
1,8,3,3,1,0.82343,2.6703,2.9297,0.79044,0.172,0.089,0.083,0.51149,15.113,15.525,0.8244,0.21617,0.87121,0.81266,0.87501,0.78708,0.42728
1,8,3,3,1,0.87447,3.6109,2.8076,0.73638,0.182,0.091,0.088,0.48925,14.283,19.84,0.88942,0.12337,0.80898,0.89664,0.91451,0.90951,0.14486
1,8,3,3,1,0.83077,3.3795,2.8076,0.71099,0.183,0.103,0.087,0.50568,14.205,18.467,0.84835,0.12654,0.79459,0.85428,0.85968,0.85424,0.44721
1,9,1,1,0.10842,0.84067,5.1704,0.47832,0.17396,1.0875,0.45,0.6345,0.41283,4.8938,4.7544,0.77377,0.25439,0.90831,0.74844,0.78504,0.71974,0.36641
1,9,1,1,0.080272,0.85886,5.235,0.47789,0.19158,1.065,0.406,0.643,0.4,4.9971,4.9155,0.80548,0.24948,0.87377,0.75407,0.87908,0.76836,0.33012
1,9,1,1,0.080923,0.86926,5.555,0.46794,0.19715,1.064,0.3655,0.692,0.35044,5.0019,5.2209,0.84124,0.28241,0.93816,0.78686,0.92622,0.76693,0.314
1,9,1,2,1,0.85521,3.6916,0.87193,0.27641,0.576,0.249,0.316,0.44234,6.9444,6.409,0.85576,0.18427,0.89691,0.83073,0.89134,0.80091,0.23602
1,9,1,2,0.59222,0.86919,4.201,0.83705,0.27761,0.589,0.253,0.33,0.43103,6.7912,7.1324,0.88137,0.18806,0.91077,0.85345,0.90751,0.84574,0.15084
1,9,1,2,0.39796,0.87024,4.2398,0.68934,0.23198,0.7145,0.3015,0.415,0.42249,5.5983,5.934,0.86198,0.15484,0.90813,0.8309,0.90519,0.82689,0.24335
1,9,1,3,1,0.77461,3.1693,1.0615,0.25315,0.488,0.231,0.259,0.47531,5.3268,6.4946,0.78995,0.16806,0.83624,0.77393,0.77569,0.74836,0.34343
1,9,1,3,1,0.81419,3.3735,1.285,0.30975,0.395,0.19,0.202,0.48338,6.5809,8.5406,0.8334,0.18353,0.85288,0.81945,0.79734,0.81858,0.13925
1,9,1,3,1,0.89355,3.6998,1.3563,0.32745,0.373,0.188,0.189,0.4974,6.9691,9.919,0.90577,0.15984,0.90819,0.92401,0.90372,0.89162,0.15954
1,9,2,1,0.041061,0.83747,5.4027,0.51945,0.23654,0.952,0.326,0.637,0.34536,5.5903,5.6751,0.74516,0.28354,0.84297,0.69206,0.92813,0.75221,0.69967
1,9,2,1,0.056173,0.84086,5.2593,0.59679,0.24738,0.8345,0.294,0.5425,0.35216,6.3774,6.3024,0.78388,0.24616,0.89208,0.71147,0.90814,0.73806,0.28291
1,9,2,1,0.059309,0.83128,4.9307,0.57165,0.24922,0.867,0.298,0.55,0.35211,6.1383,5.6871,0.76299,0.29023,0.84921,0.72577,0.88626,0.72104,0.46557
1,9,2,2,1,0.89786,4.6486,1.0231,0.32455,0.489,0.227,0.262,0.46327,8.18,9.5063,0.90657,0.20646,0.90434,0.87974,0.93336,0.88569,0.37188
1,9,2,2,0.46775,0.83101,4.2202,1.019,0.32691,0.497,0.221,0.276,0.44783,8.0483,8.4913,0.81885,0.1809,0.83562,0.80235,0.85272,0.79614,0.18942
1,9,2,2,1,0.85888,4.2023,1.019,0.33398,0.4895,0.219,0.272,0.44423,8.1716,8.5849,0.85815,0.17627,0.87937,0.84248,0.90876,0.82988,0.32741
1,9,2,3,1,0.87699,3.5978,1.8029,0.47884,0.277,0.145,0.135,0.51799,9.3843,12.989,0.88906,0.13405,0.90982,0.91465,0.85878,0.88621,0.47101
1,9,2,3,1,0.83849,3.3308,2.0345,0.48186,0.25,0.135,0.117,0.53488,10.398,13.323,0.85748,0.11315,0.82852,0.88954,0.86605,0.85318,0.19046
1,9,2,3,1,0.85718,3.1038,1.6741,0.43434,0.296,0.153,0.145,0.51336,8.782,10.486,0.87229,0.13554,0.84146,0.92535,0.8871,0.85298,0.17319
1,9,3,1,0.10187,0.81618,4.9789,0.55487,0.22963,0.911,0.319,0.594,0.34615,5.8419,5.4653,0.76703,0.30668,0.85106,0.7026,0.88244,0.73189,0.33143
1,9,3,1,0.13536,0.87607,5.2794,0.56152,0.21993,0.8865,0.3115,0.567,0.35748,6.0033,5.9553,0.81626,0.28644,0.90252,0.75718,0.95685,0.80674,0.32215
1,9,3,1,0.098447,0.84147,5.4309,0.50951,0.20717,0.945,0.324,0.624,0.34069,5.6317,5.747,0.80792,0.29163,0.89427,0.73472,0.91237,0.7562,0.86471
1,9,3,2,0.27195,0.83661,4.2385,0.83189,0.3067,0.584,0.245,0.327,0.4384,6.8493,7.2577,0.82506,0.18575,0.8431,0.76996,0.88592,0.80615,0.22515
1,9,3,2,1,0.86337,4.1179,1.1626,0.36221,0.4455,0.206,0.2345,0.46524,8.9788,9.2435,0.84896,0.12472,0.8622,0.84828,0.86591,0.83061,0.1604
1,9,3,2,1,0.88491,4.4792,1.019,0.32861,0.486,0.225,0.266,0.45669,8.2305,9.2164,0.8857,0.1784,0.88643,0.88647,0.90685,0.85186,0.14784
1,9,3,3,1,0.78918,3.191,1.8029,0.47353,0.278,0.145,0.133,0.51678,9.3506,11.478,0.77166,0.097035,0.78344,0.82291,0.75378,0.75218,0.14615
1,9,3,3,1,0.81578,3.4837,2.3082,0.50946,0.223,0.125,0.103,0.54,11.657,15.622,0.8148,0.051936,0.87121,0.80715,0.79152,0.8505,0.2154
1,9,3,3,1,0.82617,3.2171,1.9531,0.49204,0.259,0.14,0.12,0.53441,10.037,12.421,0.87192,0.14385,0.86764,0.91229,0.86557,0.86373,0.37414
2,1,1,1,0.061629,0.78322,5.376,0.43846,0.21611,1.0895,0.3725,0.6755,0.34467,4.8848,4.9345,0.6459,0.37573,0.76555,0.63346,0.70277,0.58858,0.6392
