grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
2,1,1,2,0.85666,0.3295,0.1505,0.185,0.44646,7.8893,-7.3122,1,1.4648,0.84655,0.17737,0.85967,0.79858,0.87293,0.85137,0.8235
2,1,2,1,0.8991,1.2015,0.3565,0.8555,0.29985,4.4294,-2.1522,0.049946,0.4138,0.84042,0.35513,0.95728,0.77844,0.96051,0.74213,1.5708
2,1,2,1,0.81357,1.161,0.3455,0.832,0.298,4.5839,-2.2169,0.079993,0.42832,0.79945,0.33973,0.93192,0.71208,0.9248,0.68827,1.5108
2,1,2,1,0.85536,1.185,0.36,0.8215,0.31332,4.4911,-2.1269,0.071096,0.43194,0.77927,0.29918,0.92356,0.76772,0.91116,0.70802,1.5708
2,1,2,2,0.9013,0.189,0.1,0.096,0.49731,13.754,-12.946,1,2.7127,0.87501,0.016461,0.86215,0.89261,0.86796,0.7566,0
2,1,2,2,0.8905,0.173,0.096,0.082,0.53611,15.026,-13.799,1,2.9297,0.90259,0.046808,0.86873,0.78435,0.90259,0.7566,0
2,1,2,2,0.88877,0.226,0.116,0.108,0.53247,11.502,-10.319,1,2.3438,0.87505,0.073991,0.86098,0.89676,0.91378,0.8047,0.3563
2,1,3,1,0.77746,1.236,0.3735,0.8455,0.30629,4.3058,-2.1131,0.08789,0.4138,0.79542,0.38414,0.91025,0.74945,0.9117,0.69157,2.3252
2,1,3,1,0.75271,1.13,0.3695,0.7605,0.32379,4.7098,-2.2615,0.086249,0.45211,0.75341,0.31438,0.8262,0.68753,0.8918,0.68506,1.509
2,1,3,1,0.90305,1.0755,0.379,0.7155,0.35549,4.9483,-2.392,0.10424,0.45711,0.87476,0.31662,0.93024,0.81097,0.97743,0.82121,1.5708
2,1,3,2,0.91705,0.302,0.148,0.16,0.47692,8.6075,-7.7765,1,1.6741,0.89661,0.18386,0.88341,0.92329,0.91778,0.86645,0.91904
2,1,3,2,0.85951,0.234,0.1175,0.1155,0.49663,11.109,-10.29,1,2.1307,0.84847,0.083614,0.87243,0.88209,0.8579,0.83868,0.63396
2,1,3,2,0.88768,0.2385,0.116,0.1255,0.49445,10.899,-10.183,1,2.1307,0.88035,0.095862,0.91873,0.91695,0.86644,0.84652,0.50776
