grp,pp,S,ID,peakVel,MT,accTime,decTime,accQ,IPerf,IPerfEf,Harmonicity,f,vfTrajCircularity,vfCircularity,q1,q2,q3,q4,maxangle
1,8,2,2,0.83306,0.67,0.269,0.403,0.40262,5.9701,-3.7599,1,0.71615,0.82758,0.21803,0.88253,0.80128,0.87081,0.77108,1.4064
1,8,2,3,0.92367,0.174,0.0925,0.0825,0.53191,14.939,-13.045,1,2.9297,0.90203,0.23299,0.88849,0.89773,0.87501,0.90975,0.2154
1,8,2,3,0.89363,0.203,0.107,0.0975,0.52941,12.805,-12.027,1,2.4957,0.86533,0.12919,0.85563,0.89984,0.90995,0.87442,0.57894
1,8,2,3,0.93411,0.1965,0.107,0.091,0.54417,13.229,-12.683,1,2.6042,0.89776,0.096646,0.86025,0.94331,0.96764,0.92521,0.69559
1,8,3,1,0.89674,0.931,0.327,0.592,0.3656,5.7164,-2.6667,0.07491,0.54783,0.83997,0.27409,0.91486,0.76412,0.9108,0.80153,1.5708
1,8,3,1,0.8004,0.857,0.3025,0.5625,0.34936,6.21,-2.9596,0.058979,0.56538,0.75949,0.2859,0.85977,0.66902,0.87783,0.74749,1.5808
1,8,3,1,0.81497,0.907,0.3235,0.601,0.35442,5.8676,-2.8039,0.075433,0.55487,0.78586,0.28089,0.8951,0.72905,0.88543,0.74951,1.5708
1,8,3,2,0.84558,0.545,0.25,0.296,0.43786,7.3394,-4.5151,1,0.939,0.84103,0.14395,0.8827,0.81307,0.83653,0.80032,1.113
1,8,3,2,0.87796,0.446,0.223,0.234,0.48473,8.9686,-5.6474,1,1.1161,0.87927,0.17136,0.91115,0.87745,0.84814,0.87482,1.0373
1,8,3,2,0.85098,0.459,0.2145,0.243,0.46733,8.7146,-5.4696,1,1.0696,0.84715,0.13548,0.86292,0.82581,0.85437,0.8366,0.93494
1,8,3,3,0.86487,0.172,0.094,0.08,0.54923,15.113,-13.768,1,2.9297,0.8244,0.21617,0.87121,0.81266,0.87501,0.78708,1.486
1,8,3,3,0.90506,0.182,0.1,0.082,0.54462,14.283,-13.381,1,2.8076,0.88942,0.12337,0.80898,0.89664,0.91451,0.90951,0.40607
1,8,3,3,0.85849,0.183,0.103,0.085,0.5367,14.205,-12.879,1,2.8076,0.84835,0.12654,0.79459,0.85428,0.85968,0.85424,0.56389
1,9,1,1,0.75546,1.09,0.451,0.633,0.41385,4.8825,-2.3587,0.10842,0.47832,0.77377,0.25439,0.90831,0.74844,0.78504,0.71974,1.8026
1,9,1,1,0.82337,1.0655,0.407,0.645,0.39557,4.9948,-2.3924,0.080272,0.47789,0.80548,0.24948,0.87377,0.75407,0.87908,0.76836,3.1416
1,9,1,1,0.88619,1.067,0.367,0.692,0.35105,4.9877,-2.3762,0.080923,0.46794,0.84124,0.28241,0.93816,0.78686,0.92622,0.76693,3.1416
1,9,1,2,0.8858,0.577,0.248,0.3175,0.44217,6.9324,-4.2356,1,0.87193,0.85576,0.18427,0.89691,0.83073,0.89134,0.80091,1.1599
1,9,1,2,0.91683,0.5905,0.2535,0.3305,0.43051,6.774,-4.1487,0.59222,0.83705,0.88137,0.18806,0.91077,0.85345,0.90751,0.84574,1.2056
1,9,1,2,0.88441,0.716,0.298,0.418,0.41867,5.5866,-3.497,0.39796,0.68934,0.86198,0.15484,0.90813,0.8309,0.90519,0.82689,1.2344
1,9,1,3,0.83048,0.4865,0.232,0.2585,0.47599,5.3432,-4.6356,1,1.0615,0.78995,0.16806,0.83624,0.77393,0.77569,0.74836,1.0444
1,9,1,3,0.84736,0.393,0.19,0.202,0.48362,6.6146,-5.9864,1,1.285,0.8334,0.18353,0.85288,0.81945,0.79734,0.81858,0.99203
1,9,1,3,0.90931,0.374,0.188,0.1885,0.49807,6.9505,-6.6886,1,1.3563,0.90577,0.15984,0.90819,0.92401,0.90372,0.89162,0.93011
1,9,2,1,0.83727,0.95,0.327,0.6335,0.3468,5.6021,-2.6713,0.041061,0.51945,0.74516,0.28354,0.84297,0.69206,0.92813,0.75221,1.8354
1,9,2,1,0.8187,0.836,0.294,0.545,0.35374,6.3659,-3.0165,0.056173,0.59679,0.78388,0.24616,0.89208,0.71147,0.90814,0.73806,1.5708
1,9,2,1,0.7972,0.8665,0.2985,0.5475,0.3535,6.1419,-2.9126,0.059309,0.57165,0.76299,0.29023,0.84921,0.72577,0.88626,0.72104,1.5708
1,9,2,2,0.9242,0.489,0.227,0.2625,0.46202,8.18,-5.1479,1,1.0231,0.90657,0.20646,0.90434,0.87974,0.93336,0.88569,1.0977
1,9,2,2,0.82702,0.497,0.2205,0.2745,0.44755,8.0483,-4.9298,0.46775,1.019,0.81885,0.1809,0.83562,0.80235,0.85272,0.79614,1.157
1,9,2,2,0.90101,0.489,0.219,0.271,0.44468,8.18,-4.9869,1,1.019,0.85815,0.17627,0.87937,0.84248,0.90876,0.82988,1.0268
1,9,2,3,0.86864,0.277,0.145,0.1345,0.51799,9.3843,-9.0196,1,1.8029,0.88906,0.13405,0.90982,0.91465,0.85878,0.88621,0.97361
1,9,2,3,0.86127,0.25,0.135,0.116,0.53508,10.398,-9.5614,1,2.0345,0.85748,0.11315,0.82852,0.88954,0.86605,0.85318,0.75819
1,9,2,3,0.86741,0.296,0.153,0.145,0.51311,8.782,-8.3153,1,1.6741,0.87229,0.13554,0.84146,0.92535,0.8871,0.85298,0.57999
1,9,3,1,0.80593,0.911,0.3195,0.5955,0.34704,5.8419,-2.7054,0.10187,0.55487,0.76703,0.30668,0.85106,0.7026,0.88244,0.73189,1.6147
1,9,3,1,0.8608,0.886,0.311,0.565,0.35748,6.0067,-2.9184,0.13536,0.56152,0.81626,0.28644,0.90252,0.75718,0.95685,0.80674,1.5362
1,9,3,1,0.8157,0.9445,0.3235,0.6245,0.33846,5.6347,-2.6778,0.098447,0.50951,0.80792,0.29163,0.89427,0.73472,0.91237,0.7562,1.537
1,9,3,2,0.84653,0.585,0.2455,0.327,0.43841,6.8376,-4.2117,0.27195,0.83189,0.82506,0.18575,0.8431,0.76996,0.88592,0.80615,1.5708
1,9,3,2,0.86966,0.444,0.206,0.234,0.46396,9.009,-5.6095,1,1.1626,0.84896,0.12472,0.8622,0.84828,0.86591,0.83061,1.0459
1,9,3,2,0.89834,0.485,0.2245,0.2655,0.45799,8.2475,-5.2091,1,1.019,0.8857,0.1784,0.88643,0.88647,0.90685,0.85186,1.2637
1,9,3,3,0.78081,0.278,0.1455,0.133,0.51689,9.3506,-8.4727,1,1.8029,0.77166,0.097035,0.78344,0.82291,0.75378,0.75218,0.51042
1,9,3,3,0.81738,0.223,0.125,0.1035,0.53991,11.657,-10.749,1,2.3082,0.8148,0.051936,0.87121,0.80715,0.79152,0.8505,0.42177
1,9,3,3,0.88295,0.259,0.1395,0.1205,0.53374,10.037,-8.9058,1,1.9531,0.87192,0.14385,0.86764,0.91229,0.86557,0.86373,0.68647
2,1,1,1,0.61084,1.094,0.374,0.676,0.34124,4.8647,-2.2854,0.061629,0.43846,0.6459,0.37573,0.76555,0.63346,0.70277,0.58858,3.068
2,1,1,1,0.82408,1.149,0.328,0.799,0.28605,4.632,-2.2036,0.036804,0.44759,0.76355,0.33602,0.93799,0.73642,0.89163,0.64928,1.4951
2,1,1,1,0.72264,1.069,0.3335,0.719,0.3372,4.9789,-2.3602,0.035863,0.48828,0.68819,0.3162,0.83969,0.66183,0.81161,0.61781,1.5708
2,1,1,2,0.87787,0.605,0.255,0.346,0.41157,6.6116,-4.0763,1,0.77452,0.85598,0.20126,0.86546,0.82306,0.91658,0.81557,1.1279
2,1,1,2,0.92734,0.504,0.242,0.274,0.46591,7.9365,-4.8634,1,0.97656,0.89257,0.18561,0.87495,0.86825,0.93518,0.8775,1.1509
2,1,1,2,0.86778,0.5685,0.2545,0.3165,0.43527,7.0361,-4.4757,1,0.87193,0.8631,0.17147,0.86392,0.83347,0.92201,0.84538,1.261
2,1,1,3,0.90972,0.324,0.17,0.157,0.5175,8.023,-7.5696,1,1.5625,0.90417,0.13988,0.90417,0.93722,0.8594,0.90959,0.85104
2,1,1,3,0.83858,0.237,0.128,0.1145,0.53358,10.968,-10.424,1,2.0419,0.83425,0.17987,0.85427,0.94589,0.83161,0.79591,0.67573
2,1,1,3,0.8754,0.273,0.141,0.134,0.51705,9.5218,-8.7396,1,1.878,0.8725,0.11699,0.89693,0.90895,0.84186,0.85237,0.88979
2,1,2,1,0.69456,1.2305,0.382,0.835,0.32241,4.3251,-2.0279,0.032469,0.39438,0.67009,0.37941,0.83326,0.62469,0.78742,0.60835,3.1416
2,1,2,1,0.84023,1.088,0.36,0.725,0.34035,4.8915,-2.3245,0.03798,0.45956,0.77921,0.29308,0.90602,0.73996,0.9018,0.7096,2.2464
2,1,2,1,0.86119,1.0575,0.344,0.708,0.33171,5.0326,-2.4208,0.055627,0.47871,0.83082,0.35343,0.95569,0.79861,0.92608,0.72317,1.4699
2,1,2,2,0.87722,0.6605,0.2695,0.3765,0.41581,6.056,-3.8349,1,0.78755,0.85867,0.2275,0.87336,0.82301,0.94567,0.81472,1.2084
2,1,2,2,0.91644,0.6565,0.3005,0.3585,0.44789,6.0931,-3.8222,1,0.76294,0.88392,0.17613,0.89764,0.87503,0.93645,0.8561,1.2677
2,1,2,2,0.91889,0.5925,0.276,0.319,0.46562,6.7511,-4.1216,1,0.83189,0.88069,0.20967,0.88629,0.88283,0.92004,0.84916,1.1656
2,1,2,3,0.86486,0.179,0.1005,0.089,0.54322,14.523,-12.652,1,2.8076,0.77189,0.21405,0.75453,0.81266,0.87501,0.76792,0.73263
2,1,2,3,0.87815,0.2095,0.115,0.1035,0.52553,12.408,-11.634,1,2.3438,0.81039,0.088399,0.81039,0.84523,0.87501,0.77189,0.3405
2,1,2,3,0.90917,0.173,0.104,0.0855,0.55241,15.026,-14.346,1,2.9297,0.87288,0.082219,0.85512,0.81266,0.87501,0.88325,0.30299
2,1,3,1,0.81143,1.493,0.439,1.064,0.28921,3.5646,-1.6891,0.034999,0.32106,0.75657,0.40507,0.90591,0.72618,0.92483,0.68487,1.6646
2,1,3,1,0.79336,1.105,0.3355,0.7565,0.30806,4.8162,-2.3144,0.033753,0.44222,0.75657,0.35529,0.87987,0.72955,0.91361,0.67293,1.5708
2,1,3,1,0.87606,1.102,0.36,0.736,0.34071,4.8293,-2.3237,0.083768,0.44582,0.8371,0.33998,0.94549,0.80328,0.94197,0.75844,2.0219
2,1,3,2,0.91049,0.571,0.256,0.323,0.42233,7.0053,-4.4733,1,0.86388,0.90422,0.23611,0.89578,0.89599,0.95469,0.84858,1.1907
2,1,3,2,0.86383,0.705,0.298,0.41,0.42526,5.6738,-3.625,1,0.68063,0.87143,0.21866,0.89079,0.84146,0.92466,0.8319,1.2018
2,1,3,2,0.95273,0.6225,0.2835,0.347,0.44557,6.4257,-4.0503,1,0.8138,0.92509,0.21884,0.93892,0.93077,0.95703,0.88434,1.3775
2,1,3,3,0.83132,0.173,0.104,0.0965,0.54384,15.026,-13.728,1,2.9297,0.8244,0.21617,0.87121,0.81266,0.87501,0.78708,1.486
