grp , pp , S , IDR , IDL , accTimeL , accQR , rho , Rf , IPerfEfL , q1R , peakVelL , decTimeR , circularityR , circularityL , q1L , q2L , Lf , flsAmp , decTimeL , q4R , phDiffStd , q3L , accQL , IPerfL , q3R , MTR , IPerfEfR , IPerfR , MTL , q2R , phDiffMean , flsPC , accTimeR , peakVelR , q4L
1,2,4,1,1,0.48425,1.5177,1,0.3756,12.838,1.0754,0.2209,0.52672,0.81422,0.81422,1.0754,0.44162,0.3756,0.037931,0.51816,0.40535,0.0044945,0.95665,1.3068,12.786,0.95665,1.3088,6.517,6.1791,1.1292,0.44162,-0.25132,0.16926,0.47444,0.21624,0.40535
1,2,4,1,1,0.50155,1.2787,1,0.40133,23.815,0.98766,0.15534,0.51028,0.8379,0.8379,0.98766,0.51333,0.40133,0.039205,0.50319,0.48363,0.011501,0.92412,1.1512,25.254,0.92412,0.81528,23.478,25.912,0.71879,0.51333,-0.24951,0.17151,0.49459,0.14222,0.48363
1,2,4,1,1,0.50338,1.5498,1,0.41199,20.02,0.96249,0.19103,0.53369,0.78698,0.78698,0.96249,0.37656,0.41199,0.036784,0.50043,0.43566,0.010491,0.9796,1.1643,20.287,0.9796,1.0997,11.907,11.999,0.86809,0.37656,-0.26161,0.17141,0.46856,0.20599,0.43566
1,2,4,1,1,0.48425,1.5177,1,0.3756,12.838,1.0754,0.2209,0.52672,0.81422,0.81422,1.0754,0.44162,0.3756,0.037931,0.51816,0.40535,0.0044945,0.95665,1.3068,12.786,0.95665,1.3088,6.517,6.1791,1.1292,0.44162,-0.25132,0.16926,0.47444,0.21624,0.40535
1,2,4,1,2,0.52867,1.3584,1,0.61566,4.5965,0.96522,0.2878,0.48734,0.86262,0.86262,0.96522,0.60474,0.61566,0.053504,0.4726,0.45382,0.012007,0.94792,1.2155,3.2963,0.94792,0.78361,7.6055,8.4275,0.83386,0.60474,-0.25854,0.17371,0.51425,0.21303,0.45382
1,2,4,1,2,0.50424,1.643,1,0.59925,4.6044,1.1016,0.30276,0.50916,0.88372,0.88372,1.1016,0.50526,0.59925,0.055087,0.49692,0.50521,0.004413,1.0316,1.4958,3.0322,1.0316,0.86257,5.9474,6.1991,0.87181,0.50526,-0.19808,0.17676,0.492,0.24869,0.50521
1,2,4,1,2,0.51642,1.3762,1,0.63477,4.4065,0.99966,0.34433,0.49157,0.79153,0.79153,0.99966,0.5465,0.63477,0.05268,0.48485,0.55229,0.0040483,0.94617,1.223,3.3026,0.94617,0.78521,10.03,10.157,0.79855,0.5465,-0.16805,0.1757,0.51034,0.30576,0.55229
1,2,4,1,2,0.52867,1.3584,1,0.61566,4.5965,0.96522,0.2878,0.48734,0.86262,0.86262,0.96522,0.60474,0.61566,0.053504,0.4726,0.45382,0.012007,0.94792,1.2155,3.2963,0.94792,0.78361,7.6055,8.4275,0.83386,0.60474,-0.25854,0.17371,0.51425,0.21303,0.45382
1,2,4,1,2,0.50424,1.643,1,0.59925,4.6044,1.1016,0.30276,0.50916,0.88372,0.88372,1.1016,0.50526,0.59925,0.055087,0.49692,0.50521,0.004413,1.0316,1.4958,3.0322,1.0316,0.86257,5.9474,6.1991,0.87181,0.50526,-0.19808,0.17676,0.492,0.24869,0.50521
1,2,4,1,2,0.51642,1.3762,1,0.63477,4.4065,0.99966,0.34433,0.49157,0.79153,0.79153,0.99966,0.5465,0.63477,0.05268,0.48485,0.55229,0.0040483,0.94617,1.223,3.3026,0.94617,0.78521,10.03,10.157,0.79855,0.5465,-0.16805,0.1757,0.51034,0.30576,0.55229
1,2,4,2,1,0.52608,1.4898,1,0.41624,12.22,1.0621,0.17087,0.54419,0.93637,0.93637,1.0621,0.43579,0.41624,0.045514,0.4762,0.3896,0.0086791,0.98301,1.2005,12.098,0.98301,1.0782,12.725,12.108,1.0994,0.43579,-0.10387,0.16931,0.45884,0.17377,0.3896
1,2,4,2,1,0.50735,1.4942,1,0.38147,5.0388,1.0693,0.21041,0.54032,0.84159,0.84159,1.0693,0.41027,0.38147,0.014211,0.49355,0.45351,0.010712,1.0333,1.4132,4.7518,1.0333,1.2103,4.0348,3.3681,1.1757,0.41027,-0.11256,0.17306,0.46052,0.22042,0.45351
1,2,4,2,1,0.50358,1.3872,1,0.44103,11.251,1.0511,0.18761,0.52976,0.77787,0.77787,1.0511,0.44514,0.44103,0.049837,0.49855,0.49852,0.013863,0.96721,1.2859,11.377,0.96721,1.1115,5.2421,4.7151,1.073,0.44514,-0.25985,0.1686,0.47142,0.18622,0.49852
1,2,4,2,1,0.52608,1.4898,1,0.41624,12.22,1.0621,0.17087,0.54419,0.93637,0.93637,1.0621,0.43579,0.41624,0.045514,0.4762,0.3896,0.0086791,0.98301,1.2005,12.098,0.98301,1.0782,12.725,12.108,1.0994,0.43579,-0.10387,0.16931,0.45884,0.17377,0.3896
1,2,4,2,1,0.50735,1.4942,1,0.38147,5.0388,1.0693,0.21041,0.54032,0.84159,0.84159,1.0693,0.41027,0.38147,0.014211,0.49355,0.45351,0.010712,1.0333,1.4132,4.7518,1.0333,1.2103,4.0348,3.3681,1.1757,0.41027,-0.11256,0.17306,0.46052,0.22042,0.45351
1,2,4,2,1,0.50358,1.3872,1,0.44103,11.251,1.0511,0.18761,0.52976,0.77787,0.77787,1.0511,0.44514,0.44103,0.049837,0.49855,0.49852,0.013863,0.96721,1.2859,11.377,0.96721,1.1115,5.2421,4.7151,1.073,0.44514,-0.25985,0.1686,0.47142,0.18622,0.49852
1,2,4,2,2,0.52338,1.0639,1,0,7.1927,0.87752,0.34398,0.50612,0.86141,0.86141,0.87752,0.8704,0,0.15262,0.47869,0.81987,0.0079241,0.87655,0.94568,5.3805,0.87655,0.49795,8.9695,8.7264,0.54095,0.8704,0.00089499,0.17616,0.49606,0.32025,0.81987
1,2,4,2,2,0.53471,0.98121,1,0,9.2886,0.89907,0.39503,0.49321,0.87097,0.87097,0.89907,0.94053,0,0.12902,0.46779,0.85703,0.0079513,0.95324,0.88295,6.5143,0.95324,0.40532,11.262,11.264,0.4364,0.94053,-0.009901,0.17371,0.50961,0.37285,0.85703
1,2,4,2,2,0.51918,0.96966,1,0,9.7388,0.81478,0.43432,0.48632,0.73459,0.73459,0.81478,0.89422,0,0.14528,0.48349,0.67776,0.0060229,0.8144,0.95154,6.9401,0.8144,0.37827,12.115,11.525,0.40895,0.89422,-0.029381,0.17656,0.51656,0.37064,0.67776
1,2,4,2,2,0.52338,1.0639,1,0,7.1927,0.87752,0.34398,0.50612,0.86141,0.86141,0.87752,0.8704,0,0.15262,0.47869,0.81987,0.0079241,0.87655,0.94568,5.3805,0.87655,0.49795,8.9695,8.7264,0.54095,0.8704,0.00089499,0.17616,0.49606,0.32025,0.81987
1,2,4,2,2,0.53471,0.98121,1,0,9.2886,0.89907,0.39503,0.49321,0.87097,0.87097,0.89907,0.94053,0,0.12902,0.46779,0.85703,0.0079513,0.95324,0.88295,6.5143,0.95324,0.40532,11.262,11.264,0.4364,0.94053,-0.009901,0.17371,0.50961,0.37285,0.85703
1,2,4,2,2,0.51918,0.96966,1,0,9.7388,0.81478,0.43432,0.48632,0.73459,0.73459,0.81478,0.89422,0,0.14528,0.48349,0.67776,0.0060229,0.8144,0.95154,6.9401,0.8144,0.37827,12.115,11.525,0.40895,0.89422,-0.029381,0.17656,0.51656,0.37064,0.67776
1,2,4,3,1,0.49109,1.7216,1,0.49716,7.2518,1.057,0.2292,0.50787,0.93108,0.93108,1.057,0.54859,0.49716,0.073616,0.51029,0.52958,0.004134,1.1076,1.7074,7.3335,1.1076,0.96553,8.5003,5.2491,0.99851,0.54859,0.03449,0.17158,0.49415,0.20676,0.52958
1,2,4,3,1,0.49442,1.5226,1,0.58218,6.2929,1.0055,0.28213,0.49791,0.82095,0.82095,1.0055,0.60947,0.58218,0.10582,0.50674,0.45204,0.0061636,1.0251,1.6646,6.1538,1.0251,0.87438,7.4843,5.0586,0.92726,0.60947,-0.035961,0.16815,0.50404,0.23595,0.45204
1,2,4,3,1,0.51404,1.6318,1,0.561,5.757,0.97897,0.28498,0.49925,0.903,0.903,0.97897,0.67294,0.561,0.062559,0.48708,0.54575,0.0034194,1.1084,1.525,5.9598,1.1084,0.88595,5.7478,3.3727,0.91764,0.67294,-0.062239,0.17278,0.50204,0.24328,0.54575
1,2,4,3,1,0.49109,1.7216,1,0.49716,7.2518,1.057,0.2292,0.50787,0.93108,0.93108,1.057,0.54859,0.49716,0.073616,0.51029,0.52958,0.004134,1.1076,1.7074,7.3335,1.1076,0.96553,8.5003,5.2491,0.99851,0.54859,0.03449,0.17158,0.49415,0.20676,0.52958
1,2,4,3,1,0.49442,1.5226,1,0.58218,6.2929,1.0055,0.28213,0.49791,0.82095,0.82095,1.0055,0.60947,0.58218,0.10582,0.50674,0.45204,0.0061636,1.0251,1.6646,6.1538,1.0251,0.87438,7.4843,5.0586,0.92726,0.60947,-0.035961,0.16815,0.50404,0.23595,0.45204
1,2,4,3,1,0.51404,1.6318,1,0.561,5.757,0.97897,0.28498,0.49925,0.903,0.903,0.97897,0.67294,0.561,0.062559,0.48708,0.54575,0.0034194,1.1084,1.525,5.9598,1.1084,0.88595,5.7478,3.3727,0.91764,0.67294,-0.062239,0.17278,0.50204,0.24328,0.54575
1,2,4,3,2,0.50693,1.0766,1,0,11.414,0.86331,0.56338,0.51351,0.88977,0.88977,0.86331,0.86299,0,0.17619,0.49683,0.85254,0.023459,0.9107,0.98959,9.7901,0.9107,0.28425,10.77,9.7371,0.28009,0.86299,0.089352,0.17651,0.49023,0.54179,0.85254
1,2,4,3,2,0.521,0.97778,1,0,11.603,0.91945,0.65989,0.49456,0.92305,0.92305,0.91945,1.0295,0,0.17116,0.48327,0.87974,0.010834,0.93805,0.93709,11.096,0.93805,0.24518,14.776,11.556,0.24514,1.0295,-0.010452,0.17392,0.50988,0.64917,0.87974
1,2,4,3,2,0.50778,1.0906,1,0,10.447,0.93366,0.5415,0.51705,0.87715,0.87715,0.93366,0.88697,0,0.14341,0.49597,0.96704,0.022708,0.80222,0.9918,9.7585,0.80222,0.29889,12.102,10.459,0.31289,0.88697,0.017429,0.17624,0.48697,0.47598,0.96704
1,2,4,3,2,0.50693,1.0766,1,0,11.414,0.86331,0.56338,0.51351,0.88977,0.88977,0.86331,0.86299,0,0.17619,0.49683,0.85254,0.023459,0.9107,0.98959,9.7901,0.9107,0.28425,10.77,9.7371,0.28009,0.86299,0.089352,0.17651,0.49023,0.54179,0.85254
1,2,4,3,2,0.521,0.97778,1,0,11.603,0.91945,0.65989,0.49456,0.92305,0.92305,0.91945,1.0295,0,0.17116,0.48327,0.87974,0.010834,0.93805,0.93709,11.096,0.93805,0.24518,14.776,11.556,0.24514,1.0295,-0.010452,0.17392,0.50988,0.64917,0.87974
1,2,4,3,2,0.50778,1.0906,1,0,10.447,0.93366,0.5415,0.51705,0.87715,0.87715,0.93366,0.88697,0,0.14341,0.49597,0.96704,0.022708,0.80222,0.9918,9.7585,0.80222,0.29889,12.102,10.459,0.31289,0.88697,0.017429,0.17624,0.48697,0.47598,0.96704
1,2,7,1,1,0.50784,1.4064,1,0.47084,11.964,1.085,0.23146,0.52614,0.77112,0.77112,1.085,0.53016,0.47084,0.065094,0.49443,0.44273,0.0051587,0.88709,1.145,12.103,0.88709,1.0484,7.8669,8.1664,1.037,0.53016,-0.10506,0.17328,0.47539,0.22343,0.44273
1,2,7,1,1,0.51277,1.2845,1,0.43945,11.329,1.0487,0.1827,0.52054,0.75628,0.75628,1.0487,0.47947,0.43945,0.047457,0.4893,0.49203,0.0079693,0.88268,1.1461,11.027,0.88268,1.062,8.7856,8.8623,1.025,0.47947,-0.12665,0.17513,0.48112,0.19149,0.49203
1,2,7,1,1,0.50727,1.4011,1,0.45573,14.7,1.0597,0.24093,0.51912,0.84982,0.84982,1.0597,0.57837,0.45573,0.036845,0.49552,0.38202,0.0031003,0.97541,1.292,14.879,0.97541,0.97794,14.47,14.314,0.98298,0.57837,-0.10053,0.17524,0.48357,0.22282,0.38202
1,2,7,1,1,0.50784,1.4064,1,0.47084,11.964,1.085,0.23146,0.52614,0.77112,0.77112,1.085,0.53016,0.47084,0.065094,0.49443,0.44273,0.0051587,0.88709,1.145,12.103,0.88709,1.0484,7.8669,8.1664,1.037,0.53016,-0.10506,0.17328,0.47539,0.22343,0.44273
1,2,7,1,1,0.51277,1.2845,1,0.43945,11.329,1.0487,0.1827,0.52054,0.75628,0.75628,1.0487,0.47947,0.43945,0.047457,0.4893,0.49203,0.0079693,0.88268,1.1461,11.027,0.88268,1.062,8.7856,8.8623,1.025,0.47947,-0.12665,0.17513,0.48112,0.19149,0.49203
1,2,7,1,1,0.50727,1.4011,1,0.45573,14.7,1.0597,0.24093,0.51912,0.84982,0.84982,1.0597,0.57837,0.45573,0.036845,0.49552,0.38202,0.0031003,0.97541,1.292,14.879,0.97541,0.97794,14.47,14.314,0.98298,0.57837,-0.10053,0.17524,0.48357,0.22282,0.38202
1,2,7,1,2,0.49729,1.3752,1,0.65104,5.0653,0.99294,0.28812,0.49975,0.83577,0.83577,0.99294,0.51763,0.65104,0.059847,0.50399,0.53009,0.0029758,1.0134,1.4026,3.3311,1.0134,0.75194,11.626,11.986,0.78589,0.51763,-0.065803,0.17597,0.50251,0.27126,0.53009
1,2,7,1,2,0.5047,1.2984,1,0.70801,5.6295,1.014,0.24475,0.49578,0.88288,0.88288,1.014,0.48433,0.70801,0.072941,0.49664,0.6177,0.0040442,0.96494,1.1949,3.4864,0.96494,0.73918,8.4684,8.4769,0.75616,0.48433,-0.12394,0.17636,0.50581,0.24444,0.6177
1,2,7,1,2,0.51861,1.3656,1.0417,0.60096,4.2768,1.1011,0.31196,0.48535,0.80064,0.80064,1.1011,0.36553,0.626,0.047312,0.48263,0.42616,0.87823,1.0049,1.2908,3.2233,1.0049,0.76362,13.03,12.864,0.81106,0.36553,-0.61981,0.14882,0.51706,0.27462,0.42616
1,2,7,1,2,0.49729,1.3752,1,0.65104,5.0653,0.99294,0.28812,0.49975,0.83577,0.83577,0.99294,0.51763,0.65104,0.059847,0.50399,0.53009,0.0029758,1.0134,1.4026,3.3311,1.0134,0.75194,11.626,11.986,0.78589,0.51763,-0.065803,0.17597,0.50251,0.27126,0.53009
1,2,7,1,2,0.5047,1.2984,1,0.70801,5.6295,1.014,0.24475,0.49578,0.88288,0.88288,1.014,0.48433,0.70801,0.072941,0.49664,0.6177,0.0040442,0.96494,1.1949,3.4864,0.96494,0.73918,8.4684,8.4769,0.75616,0.48433,-0.12394,0.17636,0.50581,0.24444,0.6177
