grp , pp , S , IDR , IDL , q1L
2,5,7,1,2,0.86086
2,5,7,1,2,0.97317
2,5,7,1,2,0.94485
2,5,7,1,2,0.86086
2,5,7,1,2,0.97317
2,5,7,1,2,0.94485
2,5,7,2,1,1.0112
2,5,7,2,1,0.81266
2,5,7,2,1,0.77869
2,5,7,2,1,1.0112
2,5,7,2,1,0.81266
2,5,7,2,1,0.77869
2,5,7,2,2,0.84712
2,5,7,2,2,0.87793
2,5,7,2,2,0.99074
2,5,7,2,2,0.84712
2,5,7,2,2,0.87793
2,5,7,2,2,0.99074
2,5,7,3,1,0.7783
2,5,7,3,1,0.80636
2,5,7,3,1,0.75155
2,5,7,3,1,0.7783
2,5,7,3,1,0.80636
2,5,7,3,1,0.75155
2,5,7,3,2,0.8516
2,5,7,3,2,0.82775
2,5,7,3,2,0.88814
2,5,7,3,2,0.8516
2,5,7,3,2,0.82775
2,5,7,3,2,0.88814
2,7,1,1,1,0.87571
2,7,1,1,1,0.89649
2,7,1,1,1,0.96086
2,7,1,1,1,0.87571
2,7,1,1,1,0.89649
2,7,1,1,1,0.96086
2,7,1,1,2,0.88242
2,7,1,1,2,0.92596
2,7,1,1,2,0.9686
2,7,1,1,2,0.88242
2,7,1,1,2,0.92596
2,7,1,1,2,0.9686
2,7,1,2,1,0.9147
2,7,1,2,1,0.89103
2,7,1,2,1,0.97952
2,7,1,2,1,0.9147
2,7,1,2,1,0.89103
2,7,1,2,1,0.97952
2,7,1,2,2,1.0226
2,7,1,2,2,0.80957
2,7,1,2,2,0.8943
2,7,1,2,2,1.0226
2,7,1,2,2,0.80957
2,7,1,2,2,0.8943
2,7,1,3,1,0.85973
2,7,1,3,1,0.92714
2,7,1,3,1,0.90433
2,7,1,3,1,0.85973
2,7,1,3,1,0.92714
2,7,1,3,1,0.90433
2,7,1,3,2,0.96417
2,7,1,3,2,0.9647
2,7,1,3,2,0.82698
2,7,1,3,2,0.96417
2,7,1,3,2,0.9647
2,7,1,3,2,0.82698
2,7,4,1,1,0.89708
2,7,4,1,1,0.91308
2,7,4,1,1,0.72516
2,7,4,1,1,0.89708
2,7,4,1,1,0.91308
2,7,4,1,1,0.72516
2,7,4,1,2,0.86997
2,7,4,1,2,0.8528
2,7,4,1,2,1.0168
2,7,4,1,2,0.86997
2,7,4,1,2,0.8528
2,7,4,1,2,1.0168
2,7,4,2,1,0.87535
2,7,4,2,1,0.90052
2,7,4,2,1,0.88143
2,7,4,2,1,0.87535
2,7,4,2,1,0.90052
2,7,4,2,1,0.88143
2,7,4,2,2,0.83736
2,7,4,2,2,0.83346
2,7,4,2,2,0.844
2,7,4,2,2,0.83736
2,7,4,2,2,0.83346
2,7,4,2,2,0.844
2,7,4,3,1,0.8471
2,7,4,3,1,0.86551
2,7,4,3,1,0.82259
2,7,4,3,1,0.8471
2,7,4,3,1,0.86551
2,7,4,3,1,0.82259
