grp , pp , S , IDR , IDL , accTimeL
1,2,1,1,2,0.31584
1,2,1,1,2,0.79675
1,2,1,1,2,0.28462
1,2,1,1,2,0.65467
1,2,1,1,2,0.29688
1,2,1,1,2,0.72877
1,2,1,1,2,0.29673
1,2,1,1,2,0.74705
1,2,1,1,2,0.375
1,2,1,1,2,0.68471
1,2,1,1,2,0.42804
1,2,1,1,2,0.68602
1,2,1,1,2,0.28222
1,2,1,1,2,0.79733
1,2,1,2,1,0.72421
1,2,1,2,1,0.47394
1,2,1,2,1,0.65509
1,2,1,2,1,0.51579
1,2,1,2,1,0.50903
1,2,1,2,1,0.35358
1,2,1,2,1,0.44444
1,2,1,2,1,0.70115
1,2,1,2,1,0.73917
1,2,1,2,1,0.38498
1,2,1,2,1,0.64
1,2,1,2,1,0.32222
1,2,1,2,1,0.70674
1,2,1,2,1,0.41287
1,2,1,2,1,0.71039
1,2,1,2,1,0.40768
1,2,1,2,1,0.58091
1,2,1,2,1,0.35334
1,2,1,2,1,0.63239
1,2,1,2,1,0.31731
1,2,1,2,1,0.63793
1,2,1,2,1,0.25656
1,2,1,2,1,0.63364
1,2,1,2,1,0.34911
1,2,1,2,1,0.6967
1,2,1,2,1,0.36272
1,2,1,2,1,0.72539
1,2,1,2,1,0.33396
1,2,1,2,1,0.59783
1,2,1,2,1,0.56391
1,2,1,2,1,0.4083
1,2,1,2,1,0.33125
1,2,1,2,1,0.49253
1,2,1,2,1,0.27523
1,2,1,2,1,0.4875
1,2,1,2,1,0.33906
1,2,1,2,1,0.39623
1,2,1,2,1,0.5873
1,2,1,2,1,0.73149
1,2,1,2,1,0.55172
1,2,1,2,1,0.67704
1,2,1,2,1,0.43416
1,2,1,2,1,0.62809
1,2,1,2,1,0.50505
1,2,1,2,1,0.48638
1,2,1,2,1,0.43481
1,2,1,2,1,0.35484
1,2,1,2,1,0.55932
1,2,1,2,1,0.6345
1,2,1,2,1,0.3653
1,2,1,2,1,0.54894
1,2,1,2,1,0.46309
1,2,1,2,1,0.42647
1,2,1,2,1,0.27498
1,2,1,2,1,0.66748
1,2,1,2,1,0.2474
1,2,1,2,1,0.59661
1,2,1,2,1,0.38211
1,2,1,2,1,0.54455
1,2,1,2,1,0.39453
1,2,1,2,1,0.69991
1,2,1,2,1,0.31906
1,2,1,2,1,0.44444
1,2,1,2,1,0.58824
1,2,1,2,1,0.68557
1,2,1,2,1,0.39911
1,2,1,2,1,0.60822
1,2,1,2,1,0.22446
1,2,1,2,1,0.61216
1,2,1,2,1,0.37772
1,2,1,2,1,0.75
1,2,1,2,1,0.33526
1,2,1,2,1,0.60457
1,2,1,2,1,0.30818
1,2,1,2,1,0.63333
1,2,1,2,1,0.46114
1,2,1,2,1,0.6495
1,2,1,2,1,0.36239
1,2,1,2,1,0.57797
1,2,1,2,1,0.39734
1,2,1,2,1,0.69419
1,2,1,2,1,0.47362
1,2,1,2,1,0.50207
1,2,1,2,1,0.53788
1,2,1,2,1,0.38064
1,2,1,2,1,0.66859
1,2,1,2,1,0.34828
1,2,1,2,1,0.6427
1,2,1,2,1,0.3817
1,2,1,2,1,0.67055
1,2,1,2,1,0.3783
1,2,1,2,1,0.71034
1,2,1,2,1,0.27663
1,2,1,2,1,0.66841
1,2,1,2,1,0.26345
1,2,1,2,1,0.70609
1,2,1,2,1,0.3931
1,2,1,2,1,0.61869
1,2,1,2,1,0.37764
1,2,1,2,1,0.68948
1,2,1,2,1,0.35332
1,2,1,2,1,0.71657
1,2,1,2,1,0.37767
1,2,1,2,1,0.63431
1,2,1,2,1,0.38394
1,2,1,2,1,0.68841
1,2,1,2,1,0.33092
1,2,1,2,1,0.73733
1,2,1,2,1,0.29858
1,2,1,2,1,0.69106
1,2,1,2,1,0.3182
1,2,1,2,1,0.62196
1,2,1,2,1,0.33152
1,2,1,2,1,0.66353
1,2,1,2,1,0.37842
1,2,1,2,1,0.74557
1,2,1,2,1,0.36407
1,2,1,2,1,0.73688
1,2,1,2,1,0.40876
1,2,1,2,1,0.3609
1,2,1,2,1,0.29001
1,2,1,2,1,0.8086
1,2,1,2,1,0.3908
1,2,1,2,1,0.74606
1,2,1,2,1,0.36087
1,2,1,2,1,0.67474
1,2,1,2,1,0.30017
1,2,1,2,1,0.67488
1,2,1,2,1,0.30105
1,2,1,2,1,0.78776
1,2,1,2,1,0.46223
1,2,1,2,1,0.71778
1,2,1,2,1,0.25363
1,2,1,2,1,0.66772
1,2,1,2,1,0.33688
1,2,1,2,1,0.67508
1,2,1,2,1,0.28239
1,2,1,2,1,0.65589
1,2,1,2,1,0.31696
