grp , pp , S , IDR , IDL , q4R
1,9,1,3,2,0.9168
1,9,4,1,1,0.5246
1,9,4,1,1,0.65807
1,9,4,1,1,0.70499
1,9,4,1,1,0.5246
1,9,4,1,1,0.65807
1,9,4,1,1,0.70499
1,9,4,1,2,0.58317
1,9,4,1,2,0.61363
1,9,4,1,2,0.64565
1,9,4,1,2,0.58317
1,9,4,1,2,0.61363
1,9,4,1,2,0.64565
1,9,4,2,1,0.55489
1,9,4,2,1,0.49733
1,9,4,2,1,0.48371
1,9,4,2,1,0.55489
1,9,4,2,1,0.49733
1,9,4,2,1,0.48371
1,9,4,2,2,0.75431
1,9,4,2,2,0.7854
1,9,4,2,2,0.89498
1,9,4,2,2,0.75431
1,9,4,2,2,0.7854
1,9,4,2,2,0.89498
1,9,4,3,1,0.7154
1,9,4,3,1,0.62425
1,9,4,3,1,0.6736
1,9,4,3,1,0.7154
1,9,4,3,1,0.62425
1,9,4,3,1,0.6736
1,9,4,3,2,0.95852
1,9,4,3,2,0.9615
1,9,4,3,2,1.0173
1,9,4,3,2,0.95852
1,9,4,3,2,0.9615
1,9,4,3,2,1.0173
1,9,7,1,1,0.72691
1,9,7,1,1,0.58846
1,9,7,1,1,0.5239
1,9,7,1,1,0.72691
1,9,7,1,1,0.58846
1,9,7,1,1,0.5239
1,9,7,1,2,0.53354
1,9,7,1,2,0.58244
1,9,7,1,2,0.59324
1,9,7,1,2,0.53354
1,9,7,1,2,0.58244
1,9,7,1,2,0.59324
1,9,7,2,1,0.76617
1,9,7,2,1,0.5807
1,9,7,2,1,0.69547
1,9,7,2,1,0.76617
1,9,7,2,1,0.5807
1,9,7,2,1,0.69547
1,9,7,2,2,0.95773
1,9,7,2,2,0.77593
1,9,7,2,2,0.85113
1,9,7,2,2,0.95773
1,9,7,2,2,0.77593
1,9,7,2,2,0.85113
1,9,7,3,1,0.69045
1,9,7,3,1,0.58495
1,9,7,3,1,0.53993
1,9,7,3,1,0.69045
1,9,7,3,1,0.58495
1,9,7,3,1,0.53993
1,9,7,3,2,0.84092
1,9,7,3,2,0.92118
1,9,7,3,2,0.94392
1,9,7,3,2,0.84092
1,9,7,3,2,0.92118
1,9,7,3,2,0.94392
2,1,1,1,1,0.53131
2,1,1,1,1,0.60555
2,1,1,1,1,0.51597
2,1,1,1,1,0.53131
2,1,1,1,1,0.60555
2,1,1,1,1,0.51597
2,1,1,1,2,0.48145
2,1,1,1,2,0.58313
2,1,1,1,2,0.5732
2,1,1,1,2,0.48145
2,1,1,1,2,0.58313
2,1,1,1,2,0.5732
2,1,1,2,1,0.58372
2,1,1,2,1,0.6433
2,1,1,2,1,0.58427
2,1,1,2,1,0.58372
2,1,1,2,1,0.6433
2,1,1,2,1,0.58427
2,1,1,2,2,0.50062
2,1,1,2,2,0.61468
2,1,1,2,2,0.55664
2,1,1,2,2,0.50062
2,1,1,2,2,0.61468
2,1,1,2,2,0.55664
2,1,1,3,1,0.60554
2,1,1,3,1,0.57787
2,1,1,3,1,0.53496
2,1,1,3,1,0.60554
2,1,1,3,1,0.57787
2,1,1,3,1,0.53496
2,1,1,3,2,0.90512
2,1,1,3,2,0.99733
2,1,1,3,2,0.98193
2,1,1,3,2,0.90512
2,1,1,3,2,0.99733
2,1,1,3,2,0.98193
2,1,4,1,1,0.45332
2,1,4,1,1,0.48961
2,1,4,1,1,0.49706
2,1,4,1,1,0.45332
2,1,4,1,1,0.48961
2,1,4,1,1,0.49706
2,1,4,1,2,0.43525
2,1,4,1,2,0.51173
2,1,4,1,2,0.56665
2,1,4,1,2,0.43525
2,1,4,1,2,0.51173
2,1,4,1,2,0.56665
2,1,4,2,1,0.48736
2,1,4,2,1,0.58754
2,1,4,2,1,0.5225
2,1,4,2,1,0.48736
