grp , pp , S , IDR , IDL , accTimeR
1,2,1,1,2,0.24831
1,2,1,1,2,0.71108
1,2,1,1,2,0.32914
1,2,1,1,2,0.71566
1,2,1,1,2,0.24897
1,2,1,1,2,0.63573
1,2,1,1,2,0.29087
1,2,1,1,2,0.74522
1,2,1,1,2,0.18434
1,2,1,1,2,0.72444
1,2,1,1,2,0.31202
1,2,1,1,2,0.78311
1,2,1,1,2,0.2637
1,2,1,1,2,0.70884
1,2,1,1,2,0.27834
1,2,1,1,2,0.69416
1,2,1,1,2,0.28253
1,2,1,1,2,0.64683
1,2,1,1,2,0.35045
1,2,1,1,2,0.60593
1,2,1,1,2,0.29539
1,2,1,1,2,0.61856
1,2,1,1,2,0.64
1,2,1,1,2,0.82163
1,2,1,1,2,0.49693
1,2,1,1,2,0.79599
1,2,1,1,2,0.61165
1,2,1,1,2,0.66914
1,2,1,1,2,0.73694
1,2,1,1,2,0.27859
1,2,1,1,2,0.62394
1,2,1,1,2,0.27123
1,2,1,1,2,0.6104
1,2,1,1,2,0.32665
1,2,1,1,2,0.75265
1,2,1,1,2,0.3057
1,2,1,1,2,0.63508
1,2,1,1,2,0.23952
1,2,1,1,2,0.68989
1,2,1,1,2,0.33849
1,2,1,1,2,0.68665
1,2,1,1,2,0.33162
1,2,1,1,2,0.6763
1,2,1,1,2,0.233
1,2,1,1,2,0.72772
1,2,1,1,2,0.17951
1,2,1,1,2,0.78303
1,2,1,1,2,0.3084
1,2,1,1,2,0.73645
1,2,1,1,2,0.25089
1,2,1,1,2,0.83849
1,2,1,1,2,0.26863
1,2,1,1,2,0.62553
1,2,1,1,2,0.25273
1,2,1,1,2,0.6875
1,2,1,1,2,0.26677
1,2,1,1,2,0.65677
1,2,1,1,2,0.26869
1,2,1,1,2,0.71751
1,2,1,1,2,0.27449
1,2,1,1,2,0.63768
1,2,1,1,2,0.61146
1,2,1,1,2,0.76471
1,2,1,1,2,0.28135
1,2,1,1,2,0.80749
1,2,1,1,2,0.24512
1,2,1,1,2,0.79497
1,2,1,1,2,0.24876
1,2,1,1,2,0.7395
1,2,1,1,2,0.21645
1,2,1,1,2,0.73365
1,2,1,1,2,0.33146
1,2,1,1,2,0.6813
1,2,1,1,2,0.37723
1,2,1,1,2,0.73186
1,2,1,1,2,0.30656
1,2,1,1,2,0.68394
1,2,1,1,2,0.28945
1,2,1,1,2,0.59259
1,2,1,1,2,0.65432
1,2,1,1,2,0.71867
1,2,1,1,2,0.26904
1,2,1,1,2,0.57016
1,2,1,1,2,0.27507
1,2,1,1,2,0.67313
1,2,1,1,2,0.23953
1,2,1,1,2,0.67326
1,2,1,1,2,0.50602
1,2,1,1,2,0.52388
1,2,1,1,2,0.5641
1,2,1,1,2,0.6
1,2,1,1,2,0.49903
1,2,1,1,2,0.49206
1,2,1,1,2,0.61615
1,2,1,1,2,0.33604
1,2,1,1,2,0.59701
1,2,1,1,2,0.3945
1,2,1,1,2,0.63662
1,2,1,1,2,0.5977
1,2,1,1,2,0.53846
1,2,1,1,2,0.2757
1,2,1,1,2,0.39216
1,2,1,1,2,0.46491
1,2,1,1,2,0.59195
1,2,1,1,2,0.27208
1,2,1,1,2,0.70306
1,2,1,1,2,0.25909
1,2,1,1,2,0.66909
1,2,1,1,2,0.26696
1,2,1,1,2,0.64115
1,2,1,1,2,0.34137
1,2,1,1,2,0.71895
1,2,1,1,2,0.3121
1,2,1,1,2,0.42188
1,2,1,1,2,0.31579
1,2,1,1,2,0.77057
1,2,1,1,2,0.39724
1,2,1,1,2,0.7341
1,2,1,1,2,0.31362
1,2,1,1,2,0.6033
1,2,1,1,2,0.35582
1,2,1,1,2,0.67447
1,2,1,1,2,0.35531
1,2,1,1,2,0.6208
1,2,1,1,2,0.23749
1,2,1,1,2,0.64168
1,2,1,1,2,0.42129
1,2,1,1,2,0.65905
1,2,1,1,2,0.30592
1,2,1,1,2,0.70338
1,2,1,1,2,0.3078
1,2,1,1,2,0.71002
1,2,1,1,2,0.29292
1,2,1,1,2,0.47458
1,2,1,1,2,0.55556
1,2,1,1,2,0.74063
1,2,1,1,2,0.24947
1,2,1,1,2,0.70563
1,2,1,1,2,0.415
1,2,1,1,2,0.69808
1,2,1,1,2,0.31305
1,2,1,1,2,0.73287
1,2,1,1,2,0.28477
1,2,1,1,2,0.7583
1,2,1,1,2,0.28125
1,2,1,1,2,0.65342
1,2,1,1,2,0.25949
1,2,1,1,2,0.66748
1,2,1,1,2,0.36854
1,2,1,1,2,0.69826
1,2,1,1,2,0.26182
1,2,1,1,2,0.65215
1,2,1,1,2,0.34705
1,2,1,1,2,0.68191
1,2,1,1,2,0.25371
1,2,1,1,2,0.71303
1,2,1,1,2,0.60202
1,2,1,1,2,0.48387
1,2,1,1,2,0.54115
1,2,1,1,2,0.59563
1,2,1,1,2,0.6199
1,2,1,1,2,0.2988
1,2,1,1,2,0.59934
1,2,1,1,2,0.3403
1,2,1,1,2,0.56504
1,2,1,1,2,0.33863
1,2,1,1,2,0.64249
1,2,1,1,2,0.29082
1,2,1,1,2,0.715
1,2,1,1,2,0.33333
1,2,1,1,2,0.70168
1,2,1,1,2,0.32031
1,2,1,1,2,0.65777
1,2,1,1,2,0.3413
1,2,1,1,2,0.75
1,2,1,1,2,0.27879
1,2,1,1,2,0.45763
1,2,1,1,2,0.57634
1,2,1,1,2,0.6155
1,2,1,1,2,0.35057
1,2,1,1,2,0.73158
1,2,1,1,2,0.2409
1,2,1,1,2,0.73958
1,2,1,1,2,0.52381
1,2,1,1,2,0.52113
1,2,1,1,2,0.70652
1,2,1,1,2,0.70683
1,2,1,1,2,0.26673
1,2,1,1,2,0.74288
1,2,1,1,2,0.31904
1,2,1,1,2,0.52168
1,2,1,1,2,0.26579
1,2,1,1,2,0.69701
1,2,1,1,2,0.24831
1,2,1,1,2,0.71108
1,2,1,1,2,0.32914
1,2,1,1,2,0.71566
1,2,1,1,2,0.24897
1,2,1,1,2,0.63573
1,2,1,1,2,0.29087
1,2,1,1,2,0.74522
1,2,1,1,2,0.18434
1,2,1,1,2,0.72444
1,2,1,1,2,0.31202
1,2,1,1,2,0.78311
1,2,1,1,2,0.2637
1,2,1,1,2,0.70884
1,2,1,1,2,0.27834
1,2,1,1,2,0.69416
1,2,1,1,2,0.28253
1,2,1,1,2,0.64683
1,2,1,1,2,0.35045
1,2,1,1,2,0.60593
1,2,1,1,2,0.29539
1,2,1,1,2,0.61856
1,2,1,1,2,0.64
1,2,1,1,2,0.82163
1,2,1,1,2,0.49693
1,2,1,1,2,0.79599
1,2,1,1,2,0.61165
1,2,1,1,2,0.66914
