grp , pp , S , IDR , IDL , accQR
1,2,1,1,2,0.40334
1,2,1,1,2,0.66527
1,2,1,1,2,1.0762
1,2,1,1,2,0.8491
1,2,1,1,2,0.68349
1,2,1,1,2,0.61385
1,2,1,1,2,2.3498
1,2,1,1,2,0.66962
1,2,1,1,2,1.9412
1,2,1,1,2,0.77096
1,2,1,1,2,1.956
1,2,1,1,2,0.55758
1,2,1,1,2,2.4412
1,2,1,1,2,0.3996
1,2,1,1,2,2.0028
1,2,1,1,2,0.42635
1,2,1,1,2,2.125
1,2,1,1,2,0.52153
1,2,1,1,2,1.9321
1,2,1,1,2,0.33447
1,2,1,1,2,2.5906
1,2,1,1,2,1.2222
1,2,1,1,2,0.74172
1,2,1,1,2,0.6259
1,2,1,1,2,1.8552
1,2,1,1,2,0.36784
1,2,1,1,2,3.1551
1,2,1,1,2,0.3662
1,2,1,1,2,0.91515
1,2,1,1,2,0.93243
1,2,1,1,2,0.43077
1,2,1,1,2,0.41591
1,2,1,1,2,2.7527
1,2,1,1,2,0.34731
1,2,1,1,2,2.1371
1,2,1,1,2,0.91816
1,2,1,1,2,2.7652
1,2,1,1,2,0.43563
1,2,1,1,2,3.0306
1,2,1,1,2,0.40737
1,2,1,1,2,2.0408
1,2,1,1,2,0.39821
1,2,1,1,2,3.0198
1,2,1,1,2,0.57398
1,2,1,1,2,2.4403
1,2,1,1,2,0.34292
1,2,1,1,2,4.4292
1,2,1,1,2,0.3813
1,2,1,1,2,2.2073
1,2,1,1,2,0.27788
1,2,1,1,2,2.7955
1,2,1,1,2,0.41171
1,2,1,1,2,2.596
1,2,1,1,2,0.44139
1,2,1,1,2,2.5419
1,2,1,1,2,0.54717
1,2,1,1,2,1.8558
1,2,1,1,2,0.6514
1,2,1,1,2,2.3875
1,2,1,1,2,0.63333
1,2,1,1,2,0.57812
1,2,1,1,2,0.21806
1,2,1,1,2,1.0154
1,2,1,1,2,0.2605
1,2,1,1,2,0.65079
1,2,1,1,2,0.49815
1,2,1,1,2,0.35782
1,2,1,1,2,2.5923
1,2,1,1,2,0.60362
1,2,1,1,2,2.69
1,2,1,1,2,0.6392
1,2,1,1,2,2.0636
1,2,1,1,2,0.32952
1,2,1,1,2,2.2736
1,2,1,1,2,0.57558
1,2,1,1,2,3.1785
1,2,1,1,2,0.4504
1,2,1,1,2,1.9569
1,2,1,1,2,0.45738
1,2,1,1,2,2.0177
1,2,1,1,2,0.47985
1,2,1,1,2,3.2954
1,2,1,1,2,0.37512
1,2,1,1,2,4.5751
1,2,1,1,2,0.27804
1,2,1,1,2,2.245
1,2,1,1,2,0.3589
1,2,1,1,2,2.9886
1,2,1,1,2,0.19365
1,2,1,1,2,2.7254
1,2,1,1,2,0.59977
1,2,1,1,2,2.9604
1,2,1,1,2,0.4555
1,2,1,1,2,2.7514
1,2,1,1,2,0.52354
1,2,1,1,2,2.7245
1,2,1,1,2,0.39464
1,2,1,1,2,2.6471
1,2,1,1,2,0.59091
1,2,1,1,2,0.64583
1,2,1,1,2,0.30872
1,2,1,1,2,2.5571
1,2,1,1,2,0.23936
1,2,1,1,2,3.0828
1,2,1,1,2,0.25889
1,2,1,1,2,3.0233
1,2,1,1,2,0.35331
1,2,1,1,2,3.6244
1,2,1,1,2,0.36412
1,2,1,1,2,2.0198
1,2,1,1,2,0.46881
1,2,1,1,2,1.6529
1,2,1,1,2,0.36746
1,2,1,1,2,2.2657
1,2,1,1,2,0.4632
1,2,1,1,2,2.4583
1,2,1,1,2,0.70833
1,2,1,1,2,0.54717
1,2,1,1,2,0.39268
1,2,1,1,2,2.7208
1,2,1,1,2,0.7553
1,2,1,1,2,2.6388
1,2,1,1,2,0.48663
1,2,1,1,2,3.1787
1,2,1,1,2,0.48632
1,2,1,2,1,1.1713
1,2,1,2,1,0.27612
1,2,1,2,1,0.84076
1,2,1,2,1,0.63571
1,2,1,2,1,0.47337
1,2,1,2,1,1.8801
1,2,1,2,1,0.81013
1,2,1,2,1,2.7558
1,2,1,2,1,0.5173
1,2,1,2,1,1.8522
1,2,1,2,1,0.73183
1,2,1,2,1,2.3807
1,2,1,2,1,0.65229
1,2,1,2,1,2.0751
1,2,1,2,1,0.439
1,2,1,2,1,1.7329
1,2,1,2,1,0.54651
1,2,1,2,1,2.7125
1,2,1,2,1,0.52969
1,2,1,2,1,2.3991
1,2,1,2,1,0.7021
1,2,1,2,1,2.488
1,2,1,2,1,0.50483
1,2,1,2,1,1.9059
1,2,1,2,1,0.74707
1,2,1,2,1,2.2489
1,2,1,2,1,0.74791
1,2,1,2,1,3.116
1,2,1,2,1,0.75891
1,2,1,2,1,2.673
1,2,1,2,1,0.58843
1,2,1,2,1,1.9705
1,2,1,2,1,0.75294
1,2,1,2,1,1.7445
1,2,1,2,1,0.59557
1,2,1,2,1,2.0126
1,2,1,2,1,0.56339
1,2,1,2,1,2.4286
1,2,1,2,1,0.75333
1,2,1,2,1,1.4377
1,2,1,2,1,0.62983
1,2,1,2,1,2.0312
1,2,1,2,1,0.5431
1,2,1,2,1,2.1769
1,2,1,2,1,0.41777
1,2,1,2,1,2.0539
1,2,1,2,1,0.47139
1,2,1,2,1,2.6034
1,2,1,2,1,0.45088
1,2,1,2,1,2.6164
1,2,1,2,1,0.38617
1,2,1,2,1,2.1987
1,2,1,2,1,0.49827
1,2,1,2,1,2.102
1,2,1,2,1,0.71083
1,2,1,2,1,1.9278
1,2,1,2,1,0.6678
1,2,1,2,1,2.8445
1,2,1,2,1,0.975
1,2,1,2,1,1.0392
1,2,1,2,1,1.6721
1,2,1,2,1,1.2987
1,2,1,2,1,1.6698
1,2,1,2,1,1.2241
1,2,1,2,1,1.0175
1,2,1,2,1,0.70604
1,2,1,2,1,18.286
1,2,1,2,1,1.0217
1,2,1,2,1,1.1189
1,2,1,2,1,0.89205
1,2,1,2,1,0.56543
1,2,1,2,1,2.7604
1,2,1,2,1,0.52168
1,2,1,2,1,3.4208
1,2,1,2,1,0.56446
1,2,1,2,1,2.4292
1,2,1,2,1,0.51382
1,2,1,2,1,1.9613
1,2,1,2,1,0.68647
1,2,1,2,1,2.2707
1,2,1,2,1,0.8125
1,2,1,2,1,3.6966
1,2,1,2,1,0.48871
1,2,1,2,1,2.5982
1,2,1,2,1,0.51608
1,2,1,2,1,3.1626
1,2,1,2,1,0.39952
1,2,1,2,1,3.2069
1,2,1,2,1,0.29923
1,2,1,2,1,2.5852
1,2,1,2,1,0.61049
1,2,1,2,1,1.6024
1,2,1,2,1,0.71019
1,2,1,2,1,1.7151
1,2,1,2,1,0.66964
1,2,1,2,1,2.1583
1,2,1,2,1,0.50399
1,2,1,2,1,2.4186
1,2,1,2,1,0.52229
1,2,1,2,1,3.3881
1,2,1,2,1,0.41419
1,2,1,2,1,1.621
1,2,1,2,1,0.65904
1,2,1,2,1,3.1801
1,2,1,2,1,0.72582
1,2,1,2,1,1.6987
1,2,1,2,1,0.52136
