grp , pp , S , IDR , IDL , peakVelL
1,2,1,2,1,0.21193
1,2,1,2,1,0.20811
1,2,1,2,1,0.20728
1,2,1,2,1,0.23281
1,2,1,2,1,0.21429
1,2,1,2,1,0.005316
1,2,1,2,1,0.0068942
1,2,1,2,1,0.19208
1,2,1,2,1,0.15306
1,2,1,2,1,0.0012223
1,2,1,2,1,0.0015058
1,2,1,2,1,0.18953
1,2,1,2,1,0.0019732
1,2,1,2,1,0.001698
1,2,1,2,1,0.15712
1,2,1,2,1,0.0042795
1,2,1,2,1,0.0021674
1,2,1,2,1,0.1986
1,2,1,2,1,0.23584
1,2,1,2,1,0.0014773
1,2,1,2,1,0.0056577
1,2,1,2,1,0.19089
1,2,1,2,1,0.0031866
1,2,1,2,1,0.0022762
1,2,1,2,1,0.18021
1,2,1,2,1,0.17555
1,2,1,2,1,0.1637
1,2,1,2,1,0.004435
1,2,1,2,1,0.0017846
1,2,1,2,1,0.16983
1,2,1,2,1,0.21266
1,2,1,2,1,0.17617
1,2,1,2,1,0.21415
1,2,1,2,1,0.0032729
1,2,1,2,1,0.0019564
1,2,1,2,1,0.23858
1,2,1,2,1,0.20601
1,2,1,2,1,0.18782
1,2,1,2,1,0.0017253
1,2,1,2,1,0.0053434
1,2,1,2,1,0.23609
1,2,1,2,1,0.20239
1,2,1,2,1,0.155
1,2,1,2,1,0.2176
1,2,1,2,1,0.18822
1,2,1,2,1,0.16028
1,2,1,2,1,0.19803
1,2,1,2,1,0.18596
1,2,1,2,1,0.19345
1,2,1,2,1,0.19709
1,2,1,2,1,0.0027617
1,2,1,2,1,0.0059701
1,2,1,2,1,0.19632
1,2,1,2,1,0.22294
1,2,1,2,1,0.13999
1,2,1,2,1,0.21642
1,2,1,2,1,0.16531
1,2,1,2,1,0.0034317
1,2,1,2,1,0.0014396
1,2,1,2,1,0.10839
1,2,1,2,1,0.14614
1,2,1,2,1,0.1353
1,2,1,2,1,0.16837
1,2,1,2,1,0.1971
1,2,1,2,1,0.17162
1,2,1,2,1,0.15656
1,2,1,2,1,0.20594
1,2,1,2,1,0.20984
1,2,1,2,1,0.18838
1,2,1,2,1,0.23319
1,2,1,2,1,0.20819
1,2,1,2,1,0.19665
1,2,1,2,1,0.18097
1,2,1,2,1,0.20989
1,2,1,2,1,0.20656
1,2,1,2,1,0.17553
1,2,1,2,1,0.23152
1,2,1,2,1,0.15574
1,2,1,2,1,0.18941
1,2,1,2,1,0.14282
1,2,1,2,1,0.19084
1,2,1,2,1,0.20231
1,2,1,2,1,0.19031
1,2,1,2,1,0.18323
1,2,1,2,1,0.19318
1,2,1,2,1,0.22994
1,2,1,2,1,0.21602
1,2,1,2,1,0.22285
1,2,1,2,1,0.20507
1,2,1,2,1,0.22851
1,2,1,2,1,0.22222
1,2,1,2,1,0.22884
1,2,1,2,1,0.17004
1,2,1,2,1,0.21516
1,2,1,2,1,0.0063251
1,2,1,2,1,0.0044321
1,2,1,2,1,0.24724
1,2,1,2,1,0.22735
1,2,1,2,1,0.21276
1,2,1,2,1,0.19083
1,2,1,2,1,0.22993
1,2,1,2,1,0.2246
1,2,1,2,1,0.20651
1,2,1,2,1,0.16654
