grp , pp , S , IDR , IDL , decTimeR
1,2,1,1,2,0.70526
1,2,1,1,2,0.39175
1,2,1,1,2,0.37
1,2,1,1,2,0.17916
1,2,1,1,2,0.5046
1,2,1,1,2,0.20736
1,2,1,1,2,0.39806
1,2,1,1,2,0.33333
1,2,1,1,2,0.26369
1,2,1,1,2,0.72218
1,2,1,1,2,0.37662
1,2,1,1,2,0.7296
1,2,1,1,2,0.39017
1,2,1,1,2,0.67409
1,2,1,1,2,0.24801
1,2,1,1,2,0.69504
1,2,1,1,2,0.36554
1,2,1,1,2,0.76129
1,2,1,1,2,0.31073
1,2,1,1,2,0.66237
1,2,1,1,2,0.31406
1,2,1,1,2,0.66911
1,2,1,1,2,0.32453
1,2,1,1,2,0.76783
1,2,1,1,2,0.27298
1,2,1,1,2,0.82126
1,2,1,1,2,0.21772
1,2,1,1,2,0.69237
1,2,1,1,2,0.26431
1,2,1,1,2,0.74982
1,2,1,1,2,0.16237
1,2,1,1,2,0.73214
1,2,1,1,2,0.37518
1,2,1,1,2,0.74818
1,2,1,1,2,0.31316
1,2,1,1,2,0.734
1,2,1,1,2,0.34385
1,2,1,1,2,0.73205
1,2,1,1,2,0.28316
1,2,1,1,2,0.72659
1,2,1,1,2,0.37681
1,2,1,1,2,0.3949
1,2,1,1,2,0.23608
1,2,1,1,2,0.71944
1,2,1,1,2,0.19328
1,2,1,1,2,0.75566
1,2,1,1,2,0.20581
1,2,1,1,2,0.75207
1,2,1,1,2,0.26127
1,2,1,1,2,0.78452
1,2,1,1,2,0.26714
1,2,1,1,2,0.66948
1,2,1,1,2,0.31941
1,2,1,1,2,0.62351
1,2,1,1,2,0.26893
1,2,1,1,2,0.69457
1,2,1,1,2,0.3168
1,2,1,1,2,0.71156
1,2,1,1,2,0.41975
1,2,1,1,2,0.35802
1,2,1,1,2,0.28221
1,2,1,1,2,0.73198
1,2,1,1,2,0.43065
1,2,1,1,2,0.72585
1,2,1,1,2,0.32756
1,2,1,1,2,0.76138
1,2,1,1,2,0.32742
1,2,1,1,2,0.50602
1,2,1,1,2,0.47761
1,2,1,1,2,0.44444
1,2,1,1,2,0.41111
1,2,1,1,2,0.5029
1,2,1,1,2,0.50926
1,2,1,1,2,0.38426
1,2,1,1,2,0.66458
1,2,1,1,2,0.41045
1,2,1,1,2,0.61468
1,2,1,1,2,0.36385
1,2,1,1,2,0.41379
1,2,1,1,2,0.47115
1,2,1,1,2,0.72498
1,2,1,1,2,0.61765
1,2,1,1,2,0.54386
1,2,1,1,2,0.40867
1,2,1,1,2,0.72852
1,2,1,1,2,0.29745
1,2,1,1,2,0.74154
1,2,1,1,2,0.33152
1,2,1,1,2,0.73367
1,2,1,1,2,0.3594
1,2,1,1,2,0.65921
1,2,1,1,2,0.2817
1,2,1,1,2,0.68849
1,2,1,1,2,0.59375
1,2,1,1,2,0.69173
1,2,1,1,2,0.23005
1,2,1,1,2,0.60314
1,2,1,1,2,0.26654
1,2,1,1,2,0.68698
1,2,1,1,2,0.39719
1,2,1,1,2,0.64503
1,2,1,1,2,0.32609
1,2,1,1,2,0.64535
1,2,1,1,2,0.37974
1,2,1,1,2,0.76311
1,2,1,1,2,0.35889
1,2,1,1,2,0.57928
1,2,1,1,2,0.34161
1,2,1,1,2,0.69465
1,2,1,1,2,0.29723
1,2,1,1,2,0.6929
1,2,1,1,2,0.29057
1,2,1,1,2,0.70783
1,2,1,1,2,0.5339
1,2,1,1,2,0.46296
1,2,1,1,2,0.25995
1,2,1,1,2,0.75123
1,2,1,1,2,0.29492
1,2,1,1,2,0.58552
1,2,1,1,2,0.30256
1,2,1,1,2,0.68763
1,2,1,1,2,0.2677
1,2,1,1,2,0.71597
1,2,1,1,2,0.24233
1,2,1,1,2,0.71955
1,2,1,1,2,0.34714
1,2,1,1,2,0.74114
1,2,1,1,2,0.33313
1,2,1,1,2,0.63201
1,2,1,1,2,0.30239
1,2,1,1,2,0.73902
1,2,1,1,2,0.34846
1,2,1,1,2,0.65356
1,2,1,1,2,0.31877
1,2,1,1,2,0.74696
1,2,1,1,2,0.28759
1,2,1,1,2,0.4005
1,2,1,1,2,0.52074
1,2,1,1,2,0.45949
1,2,1,1,2,0.4071
1,2,1,1,2,0.38053
1,2,1,1,2,0.70213
1,2,1,1,2,0.40133
1,2,1,1,2,0.66057
1,2,1,1,2,0.43562
1,2,1,1,2,0.66236
1,2,1,1,2,0.35824
1,2,1,1,2,0.70995
1,2,1,1,2,0.28571
1,2,1,1,2,0.6676
1,2,1,1,2,0.29916
1,2,1,1,2,0.68066
1,2,1,1,2,0.34304
1,2,1,1,2,0.65942
1,2,1,1,2,0.25085
1,2,1,1,2,0.72222
1,2,1,1,2,0.55932
1,2,1,1,2,0.42748
1,2,1,1,2,0.38524
1,2,1,1,2,0.65038
1,2,1,1,2,0.2691
1,2,1,1,2,0.76008
1,2,1,1,2,0.27083
1,2,1,1,2,0.47937
1,2,1,1,2,0.48592
1,2,1,1,2,0.30435
1,2,1,1,2,0.29398
1,2,1,1,2,0.73421
1,2,1,1,2,0.25801
1,2,1,1,2,0.68182
1,2,1,1,2,0.47899
1,2,1,1,2,0.73498
1,2,1,1,2,0.30364
1,2,1,1,2,0.75253
1,2,1,1,2,0.28967
1,2,1,1,2,0.6717
1,2,1,1,2,0.28498
1,2,1,1,2,0.75185
1,2,1,1,2,0.3649
1,2,1,1,2,0.70981
1,2,1,1,2,0.25555
1,2,1,1,2,0.81648
1,2,1,1,2,0.27623
1,2,1,1,2,0.68874
1,2,1,1,2,0.21761
1,2,1,1,2,0.73716
1,2,1,1,2,0.29183
1,2,1,1,2,0.72258
1,2,1,1,2,0.3064
1,2,1,1,2,0.71816
1,2,1,1,2,0.35393
1,2,1,1,2,0.65037
1,2,1,1,2,0.3947
1,2,1,1,2,0.70526
1,2,1,1,2,0.39175
1,2,1,1,2,0.37
1,2,1,1,2,0.17916
1,2,1,1,2,0.5046
1,2,1,1,2,0.20736
1,2,1,1,2,0.39806
1,2,1,1,2,0.33333
1,2,1,1,2,0.26369
1,2,1,1,2,0.72218
1,2,1,1,2,0.37662
1,2,1,1,2,0.7296
1,2,1,1,2,0.39017
1,2,1,1,2,0.67409
1,2,1,1,2,0.24801
1,2,1,1,2,0.69504
1,2,1,1,2,0.36554
1,2,1,1,2,0.76129
1,2,1,1,2,0.31073
1,2,1,1,2,0.66237
1,2,1,1,2,0.31406
1,2,1,1,2,0.66911
1,2,1,1,2,0.32453
1,2,1,1,2,0.76783
1,2,1,1,2,0.27298
1,2,1,1,2,0.82126
1,2,1,1,2,0.21772
1,2,1,1,2,0.69237
1,2,1,1,2,0.26431
1,2,1,1,2,0.74982
1,2,1,1,2,0.16237
1,2,1,1,2,0.73214
1,2,1,1,2,0.37518
1,2,1,1,2,0.74818
1,2,1,1,2,0.31316
1,2,1,1,2,0.734
1,2,1,1,2,0.34385
1,2,1,1,2,0.73205
1,2,1,1,2,0.28316
1,2,1,1,2,0.72659
1,2,1,1,2,0.37681
1,2,1,1,2,0.3949
1,2,1,1,2,0.23608
1,2,1,1,2,0.71944
1,2,1,1,2,0.19328
1,2,1,1,2,0.75566
1,2,1,1,2,0.20581
1,2,1,1,2,0.75207
1,2,1,1,2,0.26127
1,2,1,1,2,0.78452
1,2,1,1,2,0.26714
1,2,1,1,2,0.66948
1,2,1,1,2,0.31941
1,2,1,1,2,0.62351
