grp , pp , S , IDR , IDL , IPerfEfL
1,2,1,2,1,2.8824
1,2,1,2,1,3.1125
1,2,1,2,1,3.3106
1,2,1,2,1,37.684
1,2,1,2,1,82.572
1,2,1,2,1,4.3492
1,2,1,2,1,2.7296
1,2,1,2,1,2.9244
1,2,1,2,1,5.5925
1,2,1,2,1,45.649
1,2,1,2,1,18.531
1,2,1,2,1,3.7482
1,2,1,2,1,5.2329
1,2,1,2,1,3.2932
1,2,1,2,1,103.98
1,2,1,2,1,66.057
1,2,1,2,1,3.4617
1,2,1,2,1,3.5741
1,2,1,2,1,2.6827
1,2,1,2,1,4.3459
1,2,1,2,1,3.5181
1,2,1,2,1,3.7013
1,2,1,2,1,4.2927
1,2,1,2,1,3.2512
1,2,1,2,1,3.3743
1,2,1,2,1,4.4598
1,2,1,2,1,62.387
1,2,1,2,1,29.093
1,2,1,2,1,2.9505
1,2,1,2,1,4.799
1,2,1,2,1,2.2167
1,2,1,2,1,3.5582
1,2,1,2,1,3.1975
1,2,1,2,1,1.8523
1,2,1,2,1,12.04
1,2,1,2,1,1.5823
1,2,1,2,1,2.5293
1,2,1,2,1,2.799
1,2,1,2,1,3.3491
1,2,1,2,1,3.1984
1,2,1,2,1,2.7631
1,2,1,2,1,3.2321
1,2,1,2,1,3.3453
1,2,1,2,1,3.5021
1,2,1,2,1,3.4299
1,2,1,2,1,2.7684
1,2,1,2,1,4.0189
1,2,1,2,1,3.3782
1,2,1,2,1,3.3491
1,2,1,2,1,3.1297
1,2,1,2,1,3.0735
1,2,1,2,1,3.7621
1,2,1,2,1,3.0915
1,2,1,2,1,4.4281
1,2,1,2,1,3.1896
1,2,1,2,1,3.0574
1,2,1,2,1,3.9321
1,2,1,2,1,3.0163
1,2,1,2,1,3.2465
1,2,1,2,1,3.3568
1,2,1,2,1,3.75
1,2,1,2,1,3.3841
1,2,1,2,1,2.8138
1,2,1,2,1,3.6353
1,2,1,2,1,3.5254
1,2,1,2,1,3.9137
1,2,1,2,1,2.7462
1,2,1,2,1,5.1662
1,2,1,2,1,2.7553
1,2,1,2,1,4.0245
1,2,1,2,1,42.536
1,2,1,2,1,43.815
1,2,1,2,1,3.9859
1,2,1,2,1,3.9137
1,2,1,2,1,3.0817
1,2,1,2,1,3.8238
1,2,1,2,1,3.6195
1,2,1,2,1,3.2072
1,2,1,2,1,3.3704
1,2,1,2,1,3.0558
1,2,1,2,1,3.595
1,2,1,2,1,4.5139
1,2,1,2,1,2.8963
1,2,1,2,1,3.477
1,2,1,2,1,3.849
1,2,1,2,1,3.0735
1,2,1,2,1,3.649
1,2,1,2,1,3.1297
