grp , pp , S , IDR , IDL , circularityL
2,1,7,1,2,0.8568
2,1,7,1,2,0.94579
2,1,7,1,2,0.91339
2,1,7,1,2,0.8568
2,1,7,1,2,0.94579
2,1,7,1,2,0.91339
2,1,7,2,1,0.71872
2,1,7,2,1,0.85197
2,1,7,2,1,0.96282
2,1,7,2,1,0.71872
2,1,7,2,1,0.85197
2,1,7,2,1,0.96282
2,1,7,2,2,0.84534
2,1,7,2,2,0.95955
2,1,7,2,2,0.86537
2,1,7,2,2,0.84534
2,1,7,2,2,0.95955
2,1,7,2,2,0.86537
2,1,7,3,1,0.85259
2,1,7,3,1,0.90402
2,1,7,3,1,0.91095
2,1,7,3,1,0.85259
2,1,7,3,1,0.90402
2,1,7,3,1,0.91095
2,1,7,3,2,0.96689
2,1,7,3,2,0.9321
2,1,7,3,2,0.99231
2,1,7,3,2,0.96689
2,1,7,3,2,0.9321
2,1,7,3,2,0.99231
2,4,1,1,1,0.79045
2,4,1,1,1,0.92328
2,4,1,1,1,0.87938
2,4,1,1,1,0.79045
2,4,1,1,1,0.92328
2,4,1,1,1,0.87938
2,4,1,1,2,0.92262
2,4,1,1,2,0.82416
2,4,1,1,2,0.9363
2,4,1,1,2,0.92262
2,4,1,1,2,0.82416
2,4,1,1,2,0.9363
2,4,1,2,1,0.93175
2,4,1,2,1,0.99662
2,4,1,2,1,0.79061
2,4,1,2,1,0.93175
2,4,1,2,1,0.99662
2,4,1,2,1,0.79061
2,4,1,2,2,0.80551
2,4,1,2,2,0.7848
2,4,1,2,2,0.90919
2,4,1,2,2,0.80551
2,4,1,2,2,0.7848
2,4,1,2,2,0.90919
2,4,1,3,1,0.87604
2,4,1,3,1,0.98531
2,4,1,3,1,0.93746
2,4,1,3,1,0.87604
2,4,1,3,1,0.98531
2,4,1,3,1,0.93746
2,4,1,3,2,0.88182
2,4,1,3,2,0.82784
2,4,1,3,2,0.94627
2,4,1,3,2,0.88182
2,4,1,3,2,0.82784
2,4,1,3,2,0.94627
2,4,4,1,1,0.81756
2,4,4,1,1,0.77841
2,4,4,1,1,0.93991
2,4,4,1,1,0.81756
2,4,4,1,1,0.77841
2,4,4,1,1,0.93991
2,4,4,1,2,0.74347
2,4,4,1,2,0.89174
2,4,4,1,2,0.82298
2,4,4,1,2,0.74347
2,4,4,1,2,0.89174
2,4,4,1,2,0.82298
2,4,4,2,1,0.83533
2,4,4,2,1,0.89341
2,4,4,2,1,0.90379
2,4,4,2,1,0.83533
2,4,4,2,1,0.89341
2,4,4,2,1,0.90379
2,4,4,2,2,0.96044
2,4,4,2,2,0.93104
