grp , pp , S , IDR , IDL , peakVelR
1,2,1,2,1,0.20028
1,2,1,2,1,0.1924
1,2,1,2,1,0.2172
1,2,1,2,1,0.0010737
1,2,1,2,1,0.0012511
1,2,1,2,1,0.00075668
1,2,1,2,1,0.00055146
1,2,1,2,1,0.17368
1,2,1,2,1,0.25446
1,2,1,2,1,0.24968
1,2,1,2,1,0.26394
1,2,1,2,1,0.25567
1,2,1,2,1,0.27394
1,2,1,2,1,0.2641
1,2,1,2,1,0.26089
1,2,1,2,1,0.23672
1,2,1,2,1,0.20777
1,2,1,2,1,0.22171
1,2,1,2,1,0.23862
1,2,1,2,1,0.188
1,2,1,2,1,0.25192
1,2,1,2,1,0.26965
1,2,1,2,1,0.24176
1,2,1,2,1,0.21798
1,2,1,2,1,0.24597
1,2,1,2,1,0.28584
1,2,1,2,1,0.24691
1,2,1,2,1,0.23456
1,2,1,2,1,0.24296
1,2,1,2,1,0.23625
1,2,1,2,1,0.23077
1,2,1,2,1,0.20284
1,2,1,2,1,0.23549
1,2,1,2,1,0.20243
1,2,1,2,1,0.20489
1,2,1,2,1,0.17078
1,2,1,2,1,0.20016
1,2,1,2,1,0.23185
1,2,1,2,1,0.16414
