grp , pp , S , IDR , IDL , IPerfL
1,2,1,1,1,27.575
1,2,1,1,1,3.0446
1,2,1,1,1,2.4986
1,2,1,1,1,3.3855
1,2,1,1,1,64.902
1,2,1,1,1,39.716
1,2,1,1,1,2.7111
1,2,1,1,1,3.6855
1,2,1,1,1,2.0445
1,2,1,1,1,3.6452
1,2,1,1,1,2.6385
1,2,1,1,1,3.0816
1,2,1,1,1,42.238
1,2,1,1,1,46.278
1,2,1,1,1,3.4829
1,2,1,1,1,50.207
1,2,1,1,1,16.127
1,2,1,1,1,3.7717
1,2,1,1,1,2.457
1,2,1,1,1,3.4468
1,2,1,1,1,3.0411
1,2,1,1,1,2.7292
1,2,1,1,1,2.7893
1,2,1,1,1,3.2953
1,2,1,1,1,2.5343
1,2,1,1,1,2.632
1,2,1,1,1,4.3303
1,2,1,1,1,2.8939
1,2,1,1,1,3.3556
1,2,1,1,1,2.6139
1,2,1,1,1,2.2333
1,2,1,1,1,4.461
1,2,1,1,1,2.7951
1,2,1,1,1,2.9161
1,2,1,1,1,2.8628
1,2,1,1,1,3.0745
1,2,1,1,1,2.9257
1,2,1,1,1,2.4753
1,2,1,1,1,3.7061
1,2,1,1,1,2.8721
1,2,1,1,1,2.4548
1,2,1,1,1,3.9393
1,2,1,1,1,2.3887
1,2,1,1,1,2.9002
1,2,1,1,1,4.0105
1,2,1,1,1,52.176
1,2,1,1,1,23.653
1,2,1,1,1,3.6779
1,2,1,1,1,63.356
1,2,1,1,1,40.318
1,2,1,1,1,3.1754
1,2,1,1,1,2.6346
1,2,1,1,1,3.9805
1,2,1,1,1,2.9665
1,2,1,1,1,68.23
1,2,1,1,2,1.329
1,2,1,1,2,36.612
1,2,1,1,2,30.582
1,2,1,1,2,5.3931
1,2,1,1,2,1.1558
1,2,1,1,2,1.7768
1,2,1,1,2,28.566
1,2,1,1,2,14.441
1,2,1,1,2,1.18
1,2,1,1,2,1.5122
1,2,1,1,2,1.4401
1,2,1,1,2,1.5436
1,2,1,1,2,1.437
1,2,1,1,2,1.565
1,2,1,1,2,1.6814
1,2,1,1,2,1.4645
1,2,1,1,2,1.6076
1,2,1,1,2,1.3546
1,2,1,1,2,1.8014
1,2,1,1,2,1.4097
1,2,1,1,2,1.5237
1,2,1,1,2,1.1312
1,2,1,1,2,1.4013
1,2,1,1,2,1.4854
1,2,1,1,2,1.3337
1,2,1,1,2,1.8674
1,2,1,1,2,1.7493
1,2,1,1,2,1.6016
1,2,1,1,2,1.4028
1,2,1,1,2,1.5802
1,2,1,1,2,1.5061
1,2,1,1,2,1.4449
1,2,1,1,2,1.7411
1,2,1,1,2,1.6136
1,2,1,1,2,1.4888
1,2,1,1,2,1.7158
1,2,1,1,2,1.5
1,2,1,1,2,1.8515
1,2,1,1,2,1.5707
1,2,1,1,2,1.5688
1,2,1,1,2,1.676
1,2,1,1,2,1.3681
1,2,1,1,2,1.6106
1,2,1,1,2,1.8332
1,2,1,1,2,1.4205
1,2,1,1,2,1.8255
1,2,1,1,2,1.6803
1,2,1,1,2,1.9227
1,2,1,1,2,1.5491
1,2,1,1,2,1.53
1,2,1,1,2,1.747
1,2,1,1,2,1.477
1,2,1,1,2,1.5418
1,2,1,1,2,1.917
1,2,1,1,2,1.7158
1,2,1,1,2,1.6674
1,2,1,1,2,1.7659
1,2,1,1,2,1.7192
1,2,1,1,2,1.6473
1,2,1,1,2,0.52557
1,2,1,1,2,2.1483
1,2,1,1,2,2.0663
1,2,1,1,2,1.8947
1,2,1,1,2,2.9406
1,2,1,1,2,1.5754
1,2,1,1,2,2.0812
1,2,1,1,2,1.8782
1,2,1,1,2,1.9255
1,2,1,1,2,2.3525
1,2,1,1,2,2.2256
1,2,1,1,2,2.5116
1,2,1,1,2,2.0997
1,2,1,1,2,1.9413
1,2,1,1,2,2.168
1,2,1,1,2,2.0308
1,2,1,1,2,1.998
1,2,1,1,2,2.2048
1,2,1,1,2,1.8661
1,2,1,1,2,1.8358
1,2,1,1,2,1.7399
1,2,1,1,2,2.2923
1,2,1,1,2,2.4546
1,2,1,1,2,2.1307
1,2,1,1,2,1.7915
1,2,1,1,2,1.9184
1,2,1,1,2,1.7623
1,2,1,1,2,2.143
1,2,1,1,2,1.9472
1,2,1,1,2,2.1608
1,2,1,1,2,1.9156
1,2,1,1,2,1.8581
1,2,1,1,2,1.639
1,2,1,1,2,1.8594
1,2,1,1,2,1.9128
1,2,1,1,2,1.9753
1,2,1,1,2,1.8528
1,2,1,1,2,1.9813
1,2,1,1,2,1.8436
1,2,1,1,2,2.6073
1,2,1,1,2,1.5641
1,2,1,1,2,2.1048
1,2,1,1,2,1.6935
1,2,1,1,2,2.1465
1,2,1,1,2,27.078
1,2,1,1,2,13.539
1,2,1,1,2,1.9589
1,2,1,1,2,2.0947
1,2,1,1,2,1.676
1,2,1,1,2,1.5612
1,2,1,1,2,1.8933
1,2,1,1,2,3.9386
1,2,1,1,2,8.8719
1,2,1,1,2,25.737
1,2,1,1,2,21.134
1,2,1,1,2,1.8796
1,2,1,1,2,1.3546
1,2,1,1,2,2.631
1,2,1,1,2,20.963
1,2,1,1,2,24.294
1,2,1,1,2,22.218
1,2,1,1,2,14.283
1,2,1,1,2,1.8039
1,2,1,1,2,1.8332
1,2,1,1,2,1.7635
1,2,1,1,2,1.6631
1,2,1,1,2,2.2526
1,2,1,1,2,1.4097
1,2,1,1,2,2.0324
1,2,1,1,2,1.638
1,2,1,1,2,3.0946
1,2,1,1,2,18.701
1,2,1,1,2,14.522
1,2,1,1,2,2.3024
1,2,1,1,2,1.9828
1,2,1,1,2,1.6836
1,2,1,1,2,2.3045
1,2,1,1,2,1.7647
1,2,1,1,2,2.2624
1,2,1,1,2,1.7169
1,2,1,1,2,1.9241
1,2,1,1,2,2.0104
1,2,1,1,2,1.9114
1,2,1,1,2,2.0896
1,2,1,1,2,1.995
1,2,1,1,2,1.8837
1,2,1,1,2,2.4733
1,2,1,1,2,1.8823
1,2,1,1,2,1.9428
1,2,1,1,2,1.5291
1,2,1,1,2,2.2218
1,2,1,1,2,1.488
1,2,1,1,2,2.2104
1,2,1,1,2,2.0011
1,2,1,1,2,2.1662
1,2,1,1,2,1.953
1,2,1,1,2,2.1448
1,2,1,1,2,1.9457
1,2,1,1,2,2.1899
1,2,1,1,2,1.9472
1,2,1,1,2,2.4249
1,2,1,1,2,2.0058
1,2,1,1,2,2.4362
1,2,1,1,2,1.9213
1,2,1,1,2,1.9996
1,2,1,1,2,1.9904
1,2,1,1,2,2.7078
1,2,1,1,2,2.143
1,2,1,1,2,2.1789
1,2,1,1,2,2.1918
1,2,1,1,2,2.5995
1,2,1,1,2,2.2332
