grp , pp , S , IDR , IDL , IPerfEfR
1,2,1,1,2,4.875
1,2,1,1,2,3.6697
1,2,1,1,2,4.8261
1,2,1,1,2,3.6147
1,2,1,2,1,12.698
1,2,1,2,1,29.28
1,2,1,2,1,17.283
1,2,1,2,1,21.831
1,2,1,2,1,2.904
1,2,1,2,1,3.3451
1,2,1,2,1,2.679
1,2,1,2,1,3.4093
1,2,1,2,1,2.9895
1,2,1,2,1,3.7967
1,2,1,2,1,2.8249
1,2,1,2,1,3.5503
1,2,1,2,1,2.6006
1,2,1,2,1,3.8025
1,2,1,2,1,3.4614
1,2,1,2,1,3.2898
1,2,1,2,1,3.4046
1,2,1,2,1,3.3541
1,2,1,2,1,3.1187
1,2,1,2,1,3.2855
1,2,1,2,1,3.2406
1,2,1,2,1,3.4328
1,2,1,2,1,3.5554
1,2,1,2,1,3.3609
1,2,1,2,1,3.0425
1,2,1,2,1,3.4375
1,2,1,2,1,2.6406
1,2,1,2,1,3.7938
1,2,1,2,1,2.6561
1,2,1,2,1,2.8788
1,2,1,2,1,2.0844
1,2,1,2,1,2.6033
1,2,1,2,1,2.7854
1,2,1,2,1,2.8623
1,2,1,2,1,2.8822
1,2,1,2,1,2.9841
1,2,1,2,1,2.5241
1,2,1,2,1,3.6412
1,2,1,2,1,2.7052
1,2,1,2,1,2.5697
1,2,1,2,1,3.279
1,2,1,2,1,3.6599
1,2,1,2,1,3.0916
1,2,1,2,1,3.4233
1,2,1,2,1,2.9177
1,2,1,2,1,3.1424
1,2,1,2,1,2.5487
1,2,1,2,1,3.3228
1,2,1,2,1,3.3723
1,2,1,2,1,3.7737
1,2,1,2,1,3.0295
1,2,1,2,1,3.3632
1,2,1,2,1,2.8755
1,2,1,2,1,3.2768
1,2,1,2,1,2.606
1,2,1,2,1,2.9228
1,2,1,2,1,2.5305
1,2,1,2,1,3.4735
1,2,1,2,1,63.814
1,2,1,2,1,24.046
1,2,1,2,1,31.23
1,2,1,2,1,28.746
1,2,1,2,1,8.8296
1,2,1,2,1,13.107
1,2,1,2,1,5.4933
1,2,1,2,1,7.7956
1,2,1,2,1,37.756
1,2,1,2,1,13.637
1,2,1,2,1,16.753
1,2,1,2,1,4.0122
1,2,1,2,1,1.9958
1,2,1,2,1,3.102
1,2,1,2,1,2.4035
1,2,1,2,1,2.8344
1,2,1,2,1,2.3565
1,2,1,2,1,3.2662
1,2,1,2,1,2.4972
1,2,1,2,1,3.1483
1,2,1,2,1,2.9228
1,2,1,2,1,2.6684
1,2,1,2,1,2.6447
1,2,1,2,1,3.3373
1,2,1,2,1,2.7422
1,2,1,2,1,3.1405
1,2,1,2,1,2.5565
1,2,1,2,1,2.9955
1,2,1,2,1,2.873
1,2,1,2,1,3.192
1,2,1,2,1,2.9972
1,2,1,2,1,3.5933
1,2,1,2,1,2.4984
1,2,1,2,1,2.9077
1,2,1,2,1,2.9279
1,2,1,2,1,2.7662
1,2,1,2,1,3.0079
1,2,1,2,1,2.9849
1,2,1,2,1,2.684
1,2,1,2,1,3.0533
1,2,1,2,1,2.7968
1,2,1,2,1,3.1096
1,2,1,2,1,3.1347
1,2,1,2,1,2.5682
1,2,1,2,1,3.172
1,2,1,2,1,3.2557
1,2,1,2,1,2.9245
1,2,1,2,1,3.4677
1,2,1,2,1,2.901
1,2,1,2,1,3.0718
1,2,1,2,1,3.0737
1,2,1,2,1,3.2896
1,2,1,2,1,2.7303
1,2,1,2,1,2.8249
1,2,1,2,1,2.7496
1,2,1,2,1,3.5454
1,2,1,2,1,2.9127
1,2,1,2,1,3.7146
1,2,1,2,1,2.5171
1,2,1,2,1,3.1366
1,2,1,2,1,2.694
1,2,1,2,1,3.0097
1,2,1,2,1,2.8568
1,2,1,2,1,3.2578
1,2,1,2,1,2.8535
1,2,1,2,1,3.2473
1,2,1,2,1,2.8828
1,2,1,2,1,6.5461
1,2,1,2,1,8.7033
1,2,1,2,1,8.4785
1,2,1,2,1,13.556
1,2,1,2,1,2.4263
1,2,1,2,1,3.5873
1,2,1,2,1,2.8829
1,2,1,2,1,3.4604
1,2,1,2,1,3.9076
1,2,1,2,1,3.4065
1,2,1,2,1,2.9495
1,2,1,2,1,2.3773
1,2,1,2,1,2.9667
1,2,1,2,1,2.5166
1,2,1,2,1,2.8938
1,2,1,2,1,2.8757
1,2,1,2,1,2.7733
1,2,1,2,1,3.0312
1,2,1,2,1,3.0352
1,2,1,2,1,3.3814
1,2,1,2,1,2.5919
1,2,1,2,1,3.1389
1,2,1,2,1,3.2801
1,2,1,2,1,3.3108
1,2,1,2,1,2.6609
1,2,1,2,1,3.0677
1,2,1,2,1,3.4656
1,2,1,2,1,3.1912
1,2,1,2,1,2.7901
1,2,1,2,1,3.5431
1,2,1,2,1,2.6199
1,2,1,2,1,3.1071
1,2,1,2,1,2.353
1,2,1,2,1,3.0534
1,2,1,2,1,2.635
1,2,1,2,1,3.2091
1,2,1,2,1,3.154
1,2,1,2,1,3.0595
1,2,1,2,1,2.3798
1,2,1,2,1,3.4972
1,2,1,2,1,2.6184
1,2,1,2,1,2.8402
1,2,1,2,1,2.664
1,2,1,2,1,4.2432
1,2,1,2,1,62.95
1,2,1,2,1,24.975
1,2,1,2,1,2.5375
1,2,1,2,1,3.2568
1,2,1,2,1,2.6984
1,2,1,2,1,2.7501
1,2,1,2,1,2.4666
1,2,1,2,1,3.0493
1,2,1,2,1,2.6214
1,2,1,2,1,3.1497
1,2,1,2,1,2.6905
1,2,1,2,1,3.5485
1,2,1,2,1,2.5687
1,2,1,2,1,3.3108
1,2,1,2,1,2.2704
1,2,1,2,1,2.8993
